CVE-2020-9367||Zoho ManageEngine Desktop Central MSP build MSP build 10.0.486中的MPS代理容易受到DLL劫持的影响：dcinventory.exe和dcconfig.exe试图加载CSUNSAPI.dll而不提供完整路径。由于该DLL在安装中缺失，该问题变得更加严重，因此有可能劫持该DLL并随后注入代码，导致权限升级到NT AUTHORITY/SYSTEM。
CVE-2021-0109||版本604之前的STK1A32SC的英特尔(R)SOC驱动程序包的不安全继承权限，可能允许已验证的用户通过本地访问实现权限升级。
CVE-2021-0110||版本1.41.1054.0之前的一些英特尔(R)Thunderbolt(TM)Windows DCH驱动程序中的不当访问控制可能允许未经认证的用户通过本地访问实现潜在的拒绝服务。
CVE-2021-0111||一些英特尔(R)处理器固件中的NULL指针解除引用，可能允许有权限的用户通过本地访问实现权限升级。
CVE-2021-0112||版本4.2.25031之前的Intel Unite(R) Client for Windows中未引用的服务路径，可能允许已认证的用户通过本地访问实现权限升级。
CVE-2021-0113||英特尔(R)服务器板M10JNP2SB的BMC固件在版本EFI BIOS 7215、BMC 8100.01.08之前存在越界写入，可能允许未经认证的用户通过相邻访问实现拒绝服务。
CVE-2021-0114||一些英特尔(R)处理器的固件中未检查的返回值可能允许有特权的用户通过本地访问实现潜在的特权升级。
CVE-2021-0115||一些英特尔(R)处理器的固件中的缓冲区溢出，可能允许有特权的用户通过本地访问可能实现特权升级。
CVE-2021-0116||一些英特尔(R)处理器固件中的越界写入可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0117||一些英特尔(R)处理器固件中的指针问题可能允许特权用户可能通过本地访问实现特权升级。
CVE-2021-0118||一些英特尔(R)处理器固件中的越界读取问题可能允许特权用户可能通过本地访问实现特权升级。
CVE-2021-0119||一些英特尔(R)处理器的固件中的不正确初始化可能允许特权用户可能通过物理访问实现特权升级。
CVE-2021-0120||27.20.100.9316版之前的一些Windows 10英特尔(R)图形DCH驱动程序的安装程序中的不当初始化可能允许认证用户可能通过本地访问实现拒绝服务。
CVE-2021-0121||版本27.20.100.9466之前的一些Windows 10英特尔(R)Iris(R) Xe MAX专用图形驱动程序的安装程序访问控制不当，可能允许已验证的用户通过本地访问实现潜在的权限升级。
CVE-2021-0124||一些英特尔(R)处理器的固件访问控制不当，可能允许有权限的用户通过物理访问实现权限升级。
CVE-2021-0125||一些英特尔(R)处理器的固件初始化不当，可能允许有特权的用户通过物理访问实现特权升级。
CVE-2021-0126||2.2版之前的英特尔(R)可管理性指挥官的输入验证不当，可能会允许已通过验证的用户通过相邻访问实现权限升级。
CVE-2021-0127||一些英特尔(R)处理器的控制流管理不充分，可能允许已验证的用户通过本地访问实现拒绝服务。
CVE-2021-0129||BlueZ中不适当的访问控制可能允许已验证的用户通过相邻访问实现潜在的信息披露。
CVE-2021-0131||英特尔(R)安全库3.3版之前的API中使用密码学上较弱的伪随机数发生器(PRNG)，可能允许认证用户通过网络访问实现信息泄露。
CVE-2021-0132||3.3 版以前的英特尔(R)安全库 API 中的资源在有效期限后未被释放，可能允许有特权的用户通过网络访问实现拒绝服务。
CVE-2021-0133||3.3 版以前英特尔(R)安全库中没有实体认证的密钥交换，可能允许已认证的用户通过网络访问实现潜在的权限升级。
CVE-2021-0134||英特尔(R)安全库 3.3 版之前的 API 中不正确的输入验证可能允许有特权的用户通过网络访问实现拒绝服务。
CVE-2021-0135||版本1.4.0.10之前的英特尔(R)Windows以太网诊断驱动程序中不正确的输入验证可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0143||版本11.0.0.1225之前的英特尔(R)品牌验证工具安装程序中的不当权限，可能允许认证用户通过本地访问实现权限升级。
CVE-2021-0144||英特尔 BSSA DFT 功能的默认变量初始化不安全，可能允许有特权的用户通过本地访问实现特权升级。
CVE-2021-0145||一些英特尔(R)处理器中共享资源的不当初始化可能允许已验证的用户通过本地访问实现潜在的信息披露。
CVE-2021-0146||某些英特尔(R)处理器的硬件允许在运行时激活测试或调试逻辑，这可能允许未认证的用户通过物理访问实现潜在的权限升级。
CVE-2021-0147||一些英特尔芯片组固件在 pmc_fw_lbg_c1-21ww02a 和 pmc_fw_lbg_b0-21ww02a 版本之前的电源管理控制器 (PMC) 中的不当锁定，可能允许有特权的用户通过本地访问实现拒绝服务。
CVE-2021-0148||在某些英特尔(R)固态硬盘DC的固件中插入信息到日志文件，可能允许特权用户通过本地访问实现潜在的信息披露。
CVE-2021-0151||Windows 10 中某些 Intel(R) Wireless Bluetooth(R) 和 Killer(TM) Bluetooth(R) 产品的安装程序访问控制不当，可能允许已认证用户通过本地访问实现潜在的权限升级。
CVE-2021-0152||Windows 10 中某些 Intel(R) Wireless Bluetooth(R) 和 Killer(TM) Bluetooth(R) 产品的安装程序中对加密签名的验证不当，可能允许已验证的用户通过本地访问实现潜在的拒绝服务。
CVE-2021-0153||一些英特尔(R)处理器的BIOS固件中的越界写入可能允许有特权的用户通过本地访问实现特权升级。
CVE-2021-0154||一些英特尔(R)处理器的BIOS固件中不正确的输入验证可能允许特权用户可能通过本地访问实现特权升级。
CVE-2021-0155||一些英特尔(R)处理器的BIOS固件中未检查的返回值可能允许有特权的用户通过本地访问实现信息披露。
CVE-2021-0156||一些英特尔(R)处理器的固件中不正确的输入验证，可能允许已验证的用户通过本地访问实现权限升级。
CVE-2021-0157||一些英特尔(R)处理器的BIOS固件中的控制流管理不足，可能允许有特权的用户可能通过本地访问实现特权升级。
CVE-2021-0158||一些英特尔(R)处理器的BIOS固件中输入验证不当，可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0159||一些英特尔(R)处理器的BIOS验证代码模块中不正确的输入验证可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0160||一些英特尔(R)NUC Pro机箱元素AverMedia采集卡驱动程序在3.0.64.143版之前的不受控制的搜索路径，可能允许认证的用户通过本地访问实现潜在的权限升级。
CVE-2021-0161||多个操作系统中英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中Killer(TM)Wi-Fi的固件中不正确的输入验证，可能允许有权限的用户通过本地访问可能实现权限升级。
CVE-2021-0162||Windows 10和11中英特尔(R)PROSet/Wireless Wi-Fi和Killer(TM)Wi-Fi软件中不正确的输入验证可能允许未经认证的用户可能通过邻近访问实现特权升级。
CVE-2021-0163||Windows 10 和 11 中英特尔(R) PROSet/Wireless Wi-Fi 和 Killer(TM) Wi-Fi 的软件中输入的一致性验证不当，可能允许未认证的用户通过邻近访问实现潜在的权限升级。
CVE-2021-0164||多个操作系统中英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中Killer(TM)Wi-Fi的固件访问控制不当，可能允许未经认证的用户可能通过本地访问实现特权升级。
CVE-2021-0165||多个操作系统中英特尔(R)PROSet/无线Wi-Fi和Windows 10和11中Killer(TM)Wi-Fi的固件中不正确的输入验证，可能允许未认证的用户通过相邻访问可能实现拒绝服务。
CVE-2021-0166||多个操作系统中一些英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中一些Killer(TM)Wi-Fi的固件中的敏感信息暴露给未经授权的行为者，可能允许有特权的用户可能通过本地访问实现权限升级。
CVE-2021-0167||Windows 10 和 11 中英特尔(R) PROSet/Wireless Wi-Fi 和 Killer(TM) Wi-Fi 的软件访问控制不当，可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0168|||多个操作系统中一些英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中一些Killer(TM)Wi-Fi的固件中不正确的输入验证可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0169||Windows 10和11中用于Intel(R) PROSet/Wireless Wi-Fi的软件中不受控制的搜索路径元素可能允许特权用户可能通过本地访问实现特权升级。
CVE-2021-0170||多个操作系统中某些英特尔(R)PROSet/Wireless Wi-Fi 的固件中的敏感信息暴露给未经授权的行为者，以及 Windows 10 和 11 中某些 Killer(TM) Wi-Fi 可能允许已认证用户通过本地访问实现信息披露。
CVE-2021-0171||Windows 10和11中英特尔(R)PROSet/Wireless Wi-Fi和Killer(TM)Wi-Fi的软件访问控制不当，可能允许认证的用户通过本地访问实现信息披露。
CVE-2021-0172|||多个操作系统中一些英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中一些Killer(TM)Wi-Fi的固件中不正确的输入验证，可能允许未认证的用户通过相邻访问实现潜在的拒绝服务。
CVE-2021-0173||多个操作系统中的一些英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中的一些Killer(TM)Wi-Fi的固件中输入的一致性验证不当，可能允许未经认证的用户通过相邻访问实现拒绝服务。
CVE-2021-0174||多个操作系统中一些英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中一些Killer(TM)Wi-Fi的固件中验证框架的不当使用，可能允许未经认证的用户通过邻近访问可能启用拒绝服务。
CVE-2021-0175||多个操作系统中的一些英特尔(R)PROSet/无线Wi-Fi和Windows 10和11中的一些Killer(TM)Wi-Fi的固件中对输入的指定索引、位置或偏移的不当验证，可能允许未经认证的用户通过相邻访问可能启用拒绝服务。
CVE-2021-0176|||多个操作系统中的一些英特尔(R)PROSet/无线Wi-Fi和Windows 10和11中的一些Killer(TM)Wi-Fi的固件中不正确的输入验证可能允许有特权的用户通过本地访问可能启用拒绝服务。
CVE-2021-0177||Windows 10 和 11 中英特尔(R) PROSet/Wireless Wi-Fi 和 Killer(TM) Wi-Fi 的软件中输入的一致性验证不当，可能允许未经认证的用户通过邻近访问可能启用拒绝服务。
CVE-2021-0178||Windows 10和11中英特尔(R)PROSet/Wireless Wi-Fi和Killer(TM)Wi-Fi的软件中不正确的输入验证可能允许未经认证的用户可能通过相邻访问实现拒绝服务。
CVE-2021-0179||Windows 10和11中英特尔(R)PROSet/Wireless Wi-Fi和Killer(TM)Wi-Fi软件中验证框架的不当使用，可能允许未经认证的用户通过相邻访问实现潜在的拒绝服务。
CVE-2021-0180||版本7.6.6之前的英特尔(R)HAXM软件中不受控制的资源消耗可能允许未认证的用户通过本地访问实现潜在的特权升级。
CVE-2021-0182||版本7.6.6之前的英特尔(R)HAXM软件中不受控制的资源消耗可能允许未认证的用户通过本地访问实现信息披露。
CVE-2021-0183||软件中对多个操作系统中一些英特尔(R)PROSet/Wireless Wi-Fi和Windows 10和11中一些Killer(TM)Wi-Fi的输入中指定的索引、位置或偏移的不当验证，可能允许未认证的用户通过相邻访问实现拒绝服务。
CVE-2021-0185||7.216版之前的一些英特尔(R)服务器板M10JNP系列的固件中不正确的输入验证可能允许有特权的用户通过本地访问可能实现特权升级。
CVE-2021-0186||英特尔(R)SGX SDK为支持SGX2的处理器编译的应用程序中不正确的输入验证可能允许特权用户通过本地访问实现潜在的特权升级。
CVE-2021-0188||一些英特尔(R)处理器的BIOS固件中指针值的返回超出预期范围，可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0189||一些英特尔(R)处理器的BIOS固件中使用超出范围的指针偏移，可能允许有特权的用户通过本地访问实现特权升级。
CVE-2021-0190||一些英特尔(R)处理器的BIOS固件中未捕获的异常可能允许有特权的用户通过本地访问实现特权升级。
CVE-2021-0193||2.13.0版之前的英特尔(R)带内可管理性软件中的不当认证可能允许特权用户通过网络访问实现特权升级。
CVE-2021-0194||版本2.13.0之前的英特尔(R)带内管理软件中的访问控制不当，可能允许特权用户通过网络访问实现特权升级。
CVE-2021-0196||一些英特尔(R)NUC 9 Extreme Laptop Kits 2.2.0.20版之前的内核模式驱动程序中的不当访问控制，可能允许认证用户通过本地访问实现潜在的权限升级。
CVE-2021-0197||版本1.5.5.6之前的英特尔(R)以太网控制器E810的固件中的保护机制故障，可能允许有特权的用户通过本地访问实现拒绝服务。
CVE-2021-0198||版本1.5.5.6之前的英特尔(R)以太网控制器E810的固件中不正确的访问控制可能允许特权用户通过本地访问实现拒绝服务。
CVE-2021-0199||版本1.6.0.6之前的英特尔(R)以太网控制器E810的固件中不正确的输入验证可能允许特权用户通过本地访问实现拒绝服务。
CVE-2021-0200||版本8.2之前的英特尔(R)以太网700系列控制器固件中的越界写入，可能允许特权用户通过本地访问实现特权升级。
CVE-2021-0202|||在瞻博网络MX系列和EX9200系列平台上，如果配置了基于Trio的MPC（模块化端口集中器）的集成路由和桥接（IRB）接口，并将其映射到VPLS实例或桥接域，客户边缘（CE）设备的某些网络事件可能导致MPC中的内存泄漏，从而导致内存耗尽和MPC重启。当这个问题发生时，将有暂时的流量中断，直到MPC恢复。管理员可以使用以下CLI命令来监控MPC的内存使用水平状态： user@device> show system resource-monitor fpc FPC资源使用摘要 Free Heap Mem Watermark : 20 % Free NH Mem Watermark : 20 % Free Filter Mem Watermark :20 % * - 达到水印槽 # % Heap Free RTT Average RTT 1 87 PFE # % ENCAP mem Free % NH mem Free % FW mem Free 0 NA 88 99 1 NA 89 99 当问题发生时，"% NH mem Free "的值会下降，直到MPC重新启动。这个问题影响到带有基于Trio的PFE（包转发引擎）的MX系列和EX9200系列。请参考https://kb.juniper.net/KB25385，了解基于Trio的PFEs的列表。这个问题影响到MX系列、EX9200系列上的瞻博网络Junos操作系统。17.3R3-S8；17.4R3-S2；18.2R3-S4，18.2R3-S5；18.3R3-S2，18.3R3-S3；从18.4R3-S1开始的18.4版本和18.4R3-S6之前的后期版本；从19.2R2和19.2R3-S1之前的后期版本；19.4R2和19.4R2-S3、19.4R3之前的后期版本；20.2R1和20.2R1-S3、20.2R2之前的后期版本。这个问题不影响瞻博网络Junos操作系统。18.1, 19.1, 19.3, 20.1.
CVE-2021-0203|||在配置了冗余中继组(RTG)的瞻博网络EX和QFX5K系列平台上，应用于RTG接口的风暴控制配置文件在达到阈值条件时可能不会生效。风暴控制使设备能够监测流量水平，并在超过指定的流量水平时丢弃广播、组播和未知单播数据包，从而防止数据包扩散和降低局域网的性能。注意：这个问题不影响EX2200、EX3300、EX4200和EX9200系列。这个问题影响到EX系列和QFX5K系列上的瞻博网络Junos操作系统。15.1R7-S7之前的15.1版本；16.1R7-S8之前的16.1版本；17.2R3-S4之前的17.2版本；17.3R3-S8之前的17.3版本；17.4R2-S11、17.4R3-S2之前的17.4版本；18.1R3-S10之前的18.1版本；18.2R3-S5之前的18.2版本；18.3R2-S4、18。3R3-S2；18.4R2-S5、18.4R3-S3之前的版本；19.1R2-S2、19.1R3-S2之前的版本；19.2R1-S5、19.2R2-S1、19.2R3；19.3R2-S4，19.3R3之前的19.3版本；19.4R1-S3，19.4R2-S1，19.4R3之前的19.4版本；20.1R1-S2，20.1R2之前的20.1版本。
CVE-2021-0204||| Juniper Networks Junos OS的delta-export配置工具（dexp）存在敏感信息泄露漏洞，可能允许本地认证的shell用户能够创建和读取dexp工具生成的数据库文件，包括本地用户的密码哈希。由于dexp在出厂时启用了setuid权限，并由root用户拥有，因此该漏洞可能允许本地特权用户以root权限运行dexp并访问dexp数据库中的敏感信息。这个问题影响到瞻博网络Junos操作系统。15.1R7-S8之前的15.1版本；15.1X49-D230之前的15.1X49版本；17.3R3-S9之前的17.3版本；17.4R2-S12、17.4R3-S3之前的17.4版本；18。1版本在18.1R3-S11之前；18.2版本在18.2R3-S6之前；18.2X75版本在18.2X75-D34之前；18.3版本在18.3R3-S4之前；18.4版本在18。4R2-S7、18.4R3-S6之前的18.1版本；19.1R1-S6、19.1R2-S2、19.1R3-S3之前的19.2版本；19.2R1-S5、19.2R3-S1之前的19.3版本；19.3R2-S5、19。3R3-S1；19.4R1-S3、19.4R2-S2、19.4R3-S1之前的19.4版本；20.1R1-S4、20.1R2之前的20.1版本；20.2R1-S2、20.2R2之前的20.2版本。
CVE-2021-0205|||当 "入侵检测服务"(IDS)功能在瞻博网络MX系列上配置了使用IPv6源或目标前缀的动态防火墙过滤器时，它可能错误地将前缀匹配为/32，导致过滤器阻止意外流量。这个问题只影响到用作源和目标的IPv6前缀。这个问题影响到使用MS-MPC、MS-MIC或MS-SPC3服务卡并配置了IDS服务的MX系列设备。这个问题影响到瞻博网络Junos OS 17.3版本（在MX系列上为17.3R3-S10之前）；17.4版本（在MX系列上为17.4R3-S3之前）；18.1版本（在MX系列上为18.1R3-S11之前）；18.2版本（在MX系列上为18.2R3-S6之前）；18.3版本（在MX系列上为18.3R3-S4之前）；18.4版本（在MX系列上为18.4R3-S6之前）；19。1版本之前的19.1R2-S2，19.1R3-S3的MX系列；19.2版本之前的19.2R3-S1的MX系列；19.3版本之前的19.3R2-S5，19.3R3-S1的MX系列；19.4版本之前的19.4R3的MX系列；20.1版本之前20.1R2的MX系列；20.2版本之前20.2R2的MX系列。
CVE-2021-0206||瞻博网络Junos操作系统中的一个取消NULL指针的漏洞允许攻击者发送特定的数据包，导致数据包转发引擎（PFE）崩溃和重启，从而导致拒绝服务（DoS）。通过连续发送这些特定的数据包，攻击者可以反复禁用PFE，造成持续的拒绝服务（DoS）。这个问题只影响配置了SSL代理的瞻博网络NFX系列、SRX系列平台。该问题影响到NFX系列和SRX系列的瞻博网络Junos操作系统。18.3R3-S4之前的18.3版本；18.4R3-S1之前的18.4版本；19.1R1-S6、19.1R2-S2、19.1R3之前的19.1版本；19.2R1-S2、19.2R2之间的19.2版本；19.3R2之前的19.3版本。该问题不影响18.3R1之前的NFX系列和SRX系列上的瞻博网络Junos操作系统版本。
CVE-2021-0207||| Juniper Networks Junos OS设备内的某些软件组件之间对某些数据的不当解释冲突，不允许某些流量在收到来自过滤某些特定类型流量的入口接口时通过设备，这些流量随后被重定向到不同VLAN的出口接口。这对那些发送这些特定类型流量的客户造成了拒绝服务（DoS）。客户端发送的这种流量可能看起来是真实的，但本质上是非标准的，应该被认为是潜在的恶意的，并且可以针对设备，或通过设备来发生问题。这个问题影响到IPv4和IPv6流量。通过检查日志文件，可以发现妥协的指标。你可能会发现，输入接口上的流量有100%的流量流入设备，但出口接口显示0 pps离开设备。例如。[show interfaces "interface" statistics detail] 两个接口之间的输出会显示类似的内容。入口，第一个接口： -------------------- 接口链接 输入数据包（pps） 输出数据包（pps） et-0/0 Up 9999999999 (9999) 1 (0) -------------------- 出口，第二个接口： -------------------- 接口链接 输入数据包（pps） 输出数据包（pps） et-0/0/1 Up 0 (0) 9999999999 (0) -------------------- 掉包不会显示在DDoS监控/保护计数器中，因为问题不是由反DDoS保护机制引起的。这个问题会影响到。瞻博网络Junos操作系统。NFX250、QFX5K系列、EX4600上17.3R3-S7之前的版本；NFX250、QFX5K系列、EX4600上17.4R2-S11、17.4R3-S3之前的版本；NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4600上18.1R3-S9之前的版本；18.2版本在18.2R3-S3在NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4300多千兆、EX4600上；18.3R3-S1之前的版本在NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4300多千兆、EX4600系列；18.NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4300 Multigabit、EX4600系列上的18.4R1-S5、18.4R2-S3、18.4R3之前的四个版本；19.19.1R1-S5、19.1R2-S1、19.1R3之前的版本，在NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4300多千兆、EX4600系列上；19.2R1-S5、19.2R2之前的版本，在NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4300多千兆、EX4600系列上；19。3版本之前的19.3R2-S3，NFX250、QFX5K系列、EX2300系列、EX3400系列、EX4300 Multigabit、EX4600系列上的19.3R3；19.4版本之前的19.4R1-S2，NFX250、NFX350、QFX5K系列、EX2300系列、EX3400系列、EX4300 Multigabit、EX4600系列的19.4R2。该问题不影响17.2R2之前的Junos操作系统版本。
CVE-2021-0208|||瞻博网络Junos OS的路由协议守护者（RPD）服务中存在不恰当的输入验证漏洞，允许攻击者在使用双向LSP时发送畸形的RSVP数据包，当出口路由器收到该数据包时，会使RPD崩溃，造成拒绝服务（DoS）情况。继续接收该数据包将维持拒绝服务的状态。这个问题会影响到。瞻博网络Junos操作系统。17.3R3-S10之前的所有版本（SRX系列的15.1X49-D240除外）；17.4R3-S2之前的17.4版本；18.1R3-S10之前的18.1版本；18.2R2-S7、18.2R3-S4之前的18.2版本；18.3R3-S2之前的18.3版本；18.4R1-S8、18.4R2-S6、18。4R3-S2；19.1R1-S5、19.1R3-S3之前的19.1版本；19.2R3之前的19.2版本；19.3R2-S5、19.3R3之前的19.3版本；19.4R2-S2、19.4R3-S1之前的19.4版本；20.1R1-S4、20.1R2之前的20.1版本；SRX系列上15.1X49-D240之前的15.1X49版本。瞻博网络Junos OS进化版。19.3R2-S5-EVO之前的19.3版本；19.4R2-S2-EVO之前的19.4版本；20.1R1-S4-EVO之前的20.1版本。
CVE-2021-0209|||在瞻博网络Junos OS Evolved中，攻击者发送某些有效的BGP更新数据包，可能导致Junos OS Evolved访问一个未初始化的指针，使RPD成为核心，导致拒绝服务（DoS）。继续接收这些类型的有效BGP更新数据包将导致扩展的拒绝服务状况。RPD将需要重新启动才能恢复。损害的一个指标是通过发布命令查看是否存在rpd.re文件：show system core-dumps 这个问题影响到。瞻博网络Junos OS Evolved 19.4版本（19.4R2-S2-EVO之前）；20.1版本（20.1R1-S2-EVO、20.1R2-S1-EVO之前）。该问题不影响Junos OS。
CVE-2021-0210||瞻博网络Junos OS的J-Web中存在信息暴露漏洞，未认证的攻击者可以通过伺机使用认证用户会话提升其在目标系统上的权限。这个问题会影响到瞻博网络Junos OS 12.3版本（12.3R12-S17之前）；17.3版本（17.3R3-S10之前）；17.4版本（17.4R2-S12、17.4R3-S3之前）；18.1版本（18.1R3-S11之前）；18.2版本（18.2R3-S6之前）；18.3版本（18.3R2-S4、18.3R3-S4）；18.4版本（18.4R2-S5、18。4R3-S5；19.1R1-S6、19.1R2-S2、19.1R3-S3之前的19.1版本；19.2R1-S5、19.2R3、19.2R3-S1之前的19.2版本；19.3R2-S4，19.3R3；19.4R1-S3，19.4R2-S2，19.4R3之前的19.4版本；20.1R1-S4，20.1R2之前的20.1版本；20.2R1-S1，20.2R2之前的20.2版本。
CVE-2021-0211||在瞻博网络Junos OS和Junos OS Evolved Routing Protocol Daemon (RPD)服务中，对异常或特殊情况的检查不当，允许攻击者发送有效的BGP FlowSpec消息，从而导致BGP FlowSpec域内的路由广告发生意外变化，导致网络流量中断，造成拒绝服务（DoS）情况。继续接收这些更新消息将导致持续的拒绝服务状况。这个问题影响到瞻博网络。Junos操作系统。17.3R3-S10之前的所有版本，但SRX系列的15.1X49-D240和EX系列的15.1R7-S8除外；17.3R3-S10之前的17.3版本；17.4版本，即17。4R2-S12、17.4R3-S4之前的17.4版本；18.1R3-S12之前的18.1版本；18.2R2-S8、18.2R3-S6之前的18.2版本；18.3R3-S4之前的18.4版本；18.4R1-S8、18.4R2-S6、18.4R3-S6之前的版本；19.1R1-S6、19.1R2-S2、19.1R3-S3之前的版本；19.2R3-S1之前的版本；19.3R2-S5、19.3R3-S1之前的版本；19。4版本在19.4R1-S3、19.4R2-S3、19.4R3之前；20.1版本在20.1R2之前；20.2版本在20.2R1-S3 20.2R2之前；20.3版本在20.3R1-S1、20.3R2之前。Junos OS进化版。20.3R1-S1-EVO、20.3R2-EVO之前的所有版本。
CVE-2021-0212）瞻博网络Contrail网络中的一个信息暴露漏洞，允许本地认证的攻击者读取文件，检索以明文存储的管理员凭证，从而提升其对系统的权限。这个问题会影响到。瞻博网络Contrail Networking 1911.31之前的版本。
CVE-2021-0214||瞻博网络Junos操作系统的分布式或集中式定期数据包管理守护程序（PPMD）存在漏洞，可能导致收到畸形数据包后崩溃并重新启动PPMD进程，从而导致网络不稳定、服务中断以及拒绝服务（DoS）情况。继续接收和处理这些畸形数据包将反复使PPMD进程崩溃并维持拒绝服务（DoS）状态。由于专门制作的数据包的性质，利用这个问题需要直接、相邻地连接到受攻击的组件。这个问题影响到瞻博网络Junos操作系统。17.3R3-S11之前的17.3版本；17.4R2-S12、17.4R3-S4之前的17.4版本；18.1R3-S12之前的18.1版本；18.2R2-S8、18.2R3-S7之前的18.2版本；18.3R3-S4之前的18.3版本；18.4R1-S8、18.4R2-S7、18.4R3-S6之前的18.4版本；19。1版本在19.1R1-S6、19.1R2-S2、19.1R3-S4之前；19.2版本在19.2R1-S5、19.2R3-S1之前；19.3版本在19.3R2-S5、19.3R3-S1之前；19.4版本在19.4R2-S2、19.4R3之前； 20.1版本在20.1R2之前；20.2版本在20.2R1-S2、20.2R2之前。
CVE-2021-0215|||在瞻博网络Junos EX系列、QFX系列、MX系列和SRX分支系列设备上，每次802.1X认证器端口接口翻转时都会发生内存泄漏，这会导致其他进程（如负责数据包转发的pfex进程）崩溃和重启。管理员可以使用以下CLI命令来监控内存消耗的状态： user@device> show task memory detail 详情请参考https://kb.juniper.net/KB31522。这个问题影响到瞻博网络Junos操作系统。14.1X53-D54之前的14.1X53版本；15.1X49-D240之前的15.1X49版本；15.1X53-D593之前的15.1X53版本；16.1R7-S8之前的16.1版本；17.2R3-S4之前的17.2版本；17.3R3-S8之前的17.3版本；17.4R2-S11、17.4R3-S2之间的17.4版本；18.1R3-S10之前的18.1版本；18.2版本之前的18.2R2-S7，18.2R3-S3；18.3版本之前的18.3R2-S4，18.3R3-S2；18.4版本之前的18.4R1-S7，18.4R2-S4，18.4R3-S2；19.1版本之前的19。1R1-S5、19.1R2-S2、19.1R3之前的19.2版本；19.2R1-S5、19.2R2之前的19.3版本；19.3R2-S3、19.3R3之前的19.4版本；19.4R1-S2、19.4R2之前的版本。该问题不影响瞻博网络Junos OS 12.3、15.1。
CVE-2021-0216||在ACX5448和ACX710平台上运行的瞻博网络Junos操作系统存在一个漏洞，当收到高传输速率的ARP数据包时，可能导致BFD会话翻转。这反过来可能影响路由协议和网络稳定性，导致拒绝服务（DoS）情况。当高比率的过境ARP数据包被例外地发送到CPU和BFD翻转时，可能会看到以下日志信息：BFDD[15864]。BFDD_STATE_UP_TO_DOWN: BFD Session 192.168.14.3 (IFL 232) state Up -> Down LD/RD(17/19) Up time:11:38:17 Local diag:CtlExpire 远程诊断。无原因。bfdd[15864].检测定时器过期。BFDD_TRAP_SHOP_STATE_DOWN: 本地判别器。17, 新状态: down, 接口: irb.998, 对方地址: 192.168.14.3 rpd[15839]:RPD_ISIS_ADJDOWN: IS-IS失去了与irb.998上的对等体的L2邻接，原因是：BFD会话关闭 bfdd[15864]。BFDD_TRAP_SHOP_STATE_UP: 本地判别器。17, new state: up, interface: irb.998, peer addr: 192.168.14.3 这个问题只影响到ACX5448系列和ACX710系列路由器。没有其他产品或平台受到该漏洞的影响。这个问题影响到瞻博网络Junos操作系统。ACX5448上18.2R3-S8之前的18.2版本；ACX5448上18.3R3-S5之前的18.3版本；ACX5448上18.4R1-S6、18.4R3-S7之前的18.4版本；ACX5448上19.1R3-S5之前的19.1版本；19.2版本的19.2R2、19.2R3之前的版本；ACX5448上19.3R3之前的19.3版本；ACX5448上19.4R3之前的19.4版本；ACX5448上20.1R2之前的20.1版本；ACX5448和ACX710上20.2R2之前的20.2版本。
