CVE-2022-21932||Microsoft Dynamics 365 Customer Engagement跨站脚本漏洞。
CVE-2022-22236||SRX系列和MX系列上的瞻博网络Junos OS的SIP应用层网关（ALG）存在一个访问未初始化指针的漏洞，允许未经认证的网络攻击者造成拒绝服务（DoS）。当收到特定的有效SIP数据包时，PFE将崩溃并重新启动。这个问题影响到SRX系列和MX系列上的瞻博网络Junos操作系统：20.4R3-S4之前的20.4版本；21.1R3-S2之前的21.1版本；21.2R3-S2之前的21.2版本；21.3R2-S2、21.3R3之前的21.3版本；21.4R1-S2、21.4R2之前的21.4版本；22.1R1-S1、22.1R2之间的22.1版本。这个问题不影响20.4R1之前的瞻博网络Junos操作系统版本。
CVE-2022-22237||Juniper Networks Junos OS内核中的不当认证漏洞允许未经认证的网络攻击者对保密性或完整性造成影响。处理TCP-AO的漏洞将允许未配置认证的BGP或LDP对等体建立会话，即使该对等体在本地配置为使用认证。这可能导致建立不受信任或未经授权的会话。这个问题影响到瞻博网络Junos操作系统。21.2R3-S1之前的21.2版本；21.3R2-S2、21.3R3之前的21.3版本；21.4R2-S1、21.4R3之前的21.4版本；22.1R1-S1、22.1R2之间的22.1版本。该问题不影响瞻博网络Junos OS Evolved。
CVE-2022-22238||瞻博网络Junos OS和Junos OS Evolved的路由协议守护程序(rpd)存在不恰当的异常条件检查漏洞，允许未经认证的相邻攻击者造成拒绝服务(DoS)。当对应于受保护的LSP的传入RESV消息是畸形的，它会导致一个不正确的内部状态，从而导致rpd核心。这个问题会影响到瞻博网络Junos OS 19.2R3-S6之前的所有版本；19.3R3-S6之前的19.3版本；19.4R3-S8之前的19.4版本；20.1R3-S2之前的20.1版本；20.2之前的20.2R3-S3；20.3R3-S2之前的20.3版本；20.4R3-S1之前的20.4版本；21.1R3之前的21.1版本；21.2R1-S2、21.2R3之前的21.2版本；21.3R2之前的21.3版本。瞻博网络Junos OS Evolved All版本在20.2R3-S3-EVO之前；20.3-EVO版本在20.3R1-EVO及以后的版本；20.4-EVO版本在20.4R3-S1-EVO之前；21.1-EVO版本在21.1R1-EVO及以后的版本；21.2-EVO版本在21.2R1-EVO及以后的版本；21.3-EVO版本在21.3R2-EVO之前。
CVE-2022-22239||瞻博网络Junos OS Evolved的管理守护程序(mgd)存在一个不必要权限的执行漏洞，允许本地认证的低权限攻击者提升其在设备和潜在的远程系统上的权限。该漏洞允许拥有ssh操作命令权限的本地认证攻击者将其在系统上的权限提升至root，或者如果本地设备上有用户互动，则可能将远程系统的权限提升至root。这个问题影响到瞻博网络Junos OS Evolved。20.4R3-S5-EVO之前的所有版本；21.1R3-EVO之前的21.1-EVO版本；21.2R2-S1-EVO、21.2R3-EVO之前的21.2-EVO版本；21.3R2-EVO之前的21.3EVO版本。该问题不影响瞻博网络Junos操作系统。
CVE-2022-2224||WordPress的Gallery for Social Photo插件在1.0.0.27以下的版本中存在跨站请求伪造的漏洞，原因是未能正确检查函数gifeed_duplicate_feed中是否存在nonce。这使得未经授权的攻击者有可能复制现有的帖子或页面，从而诱使网站管理员执行一个动作，如点击一个链接。
CVE-2022-22240|||瞻博网络Junos OS和Junos OS Evolved的路由协议守护程序（rpd）存在无限制或节流的资源分配和有效寿命后内存释放缺失的漏洞，允许本地认证的低权限攻击者造成拒绝服务（DoS）。在启用了rib-sharding的高规模BGP路由环境中，执行特定的CLI命令时可能会出现两个问题。一个是rpd的内存泄漏问题，泄漏率不是恒定的，另一个是在命令执行期间rpd内存使用量暂时激增。这个问题会影响到瞻博网络Junos OS 19.4版本（19.4R3-S9之前）；20.2版本（20.2R3-S5之前）；20.3版本（20.3R3-S2之前）；20.4版本（20.4R3-S1之前）；21.1版本（21.1R3之前）；21.2版本（21.2R1-S2，21.2R2-S1，21.2R3）；21.3版本（21.3R2之前）。瞻博网络Junos操作系统演进的所有版本在20.4R3-S1-EVO之前；21.1-EVO版本21.1R1-EVO及以后的版本；21.2-EVO版本在21.2R1-S2-EVO，21.2R3-EVO之前；21.3-EVO版本在21.3R2-EVO之前。该问题不影响19.2R1之前的瞻博网络Junos操作系统版本。
CVE-2022-22241|| Juniper Networks Junos OS的J-Web组件中存在不当输入验证漏洞，可能允许未经认证的攻击者在没有适当授权的情况下访问数据。利用精心设计的POST请求，可能会发生反序列化，从而导致未经授权的本地文件访问或执行任意命令的能力。这个问题影响到瞻博网络Junos操作系统：19.1R3-S9之前的所有版本；19.2R3-S6之前的19.2版本；19.3R3-S7之前的19.3版本；19.4R2-S7、19.4R3-S9之前的19.4版本；20.1R3-S5之前的20.1版本；20.2R3-S5之前的20.2版本；20。3版本在20.3R3-S5之前；20.4版本在20.4R3-S4之前；21.1版本在21.1R3-S2之前；21.2版本在21.2R3-S1之前；21.3版本在21.3R2-S2，21.3R3之前；21.4版本在21.4R1-S2，21.4R2-S1，21.4R3之前；22.1版本在22.1R1-S1，22.1R2。
CVE-2022-22242||瞻博网络Junos操作系统的J-Web组件存在跨站脚本（XSS）漏洞，未经认证的攻击者可以在J-Web中的会话背景下，从J-Web中向受害者的浏览器运行恶意脚本。该问题影响到瞻博网络Junos OS 19.1R3-S9之前的所有版本；19.2R3-S6之前的19.2版本；19.3R3-S7之前的19.3版本；19.4R2-S7、19.4R3-S8之前的19.4版本；20.1R3-S5之前的20.1版本；20.2R3-S5之前的20.3版本；20.4R3-S4之前的20.4版本；21.1R3-S4之前的21.1版本；21.2R3-S1之前的21.2版本；21.3R3之前的21.3版本；21.4R2之后的21.4版本；22.1R2之前的22.1版本。
CVE-2022-22243||由于瞻博网络Junos操作系统的J-Web组件中存在输入验证不当的XPath注入漏洞，允许经过验证的攻击者将XPath命令添加到XPath流中，这可能允许链入其他未指明的漏洞，导致部分保密性丧失。该问题影响瞻博网络Junos操作系统：19.1R3-S9之前的所有版本；19.2R3-S6之前的19.2版本；19.3R3-S7之前的19.3版本；19.4R2-S7、19.4R3-S8之前的19.4版本；20.1R3-S5之前的20.1版本；20.2R3-S5之前的20.2版本；20。3版本在20.3R3-S5之前；20.4版本在20.4R3-S4之前；21.1版本在21.1R3-S2之前；21.2版本在21.2R3-S1之前；21.3版本在21.3R2-S2，21.3R3之前；21.4版本在21.4R1-S2，21.4R2-S1，21.4R3之前；22.1版本在22.1R1-S1，22.1R2。
CVE-2022-22244||瞻博网络Junos操作系统的J-Web组件中存在XPath注入漏洞，允许未经认证的攻击者发送精心制作的POST，以达到XPath通道，这可能允许链入其他未指定的漏洞，导致部分失密。该问题影响瞻博网络Junos操作系统：19.1R3-S9之前的所有版本；19.2R3-S6之前的19.2版本；19.3R3-S7之前的19.3版本；19.4R3-S9之前的19.4版本；20.1R3-S5之前的20.1版本；20.2R3-S5之前的20.2版本；20。3版本在20.3R3-S5之前；20.4版本在20.4R3-S4之前；21.1版本在21.1R3-S3之前；21.2版本在21.2R3-S1之前；21.3版本在21.3R3之前；21.4版本在21.4R1-S2，21.4R2之前；22.1版本在22.1R1-S1，22.1R2。
CVE-2022-22245||瞻博网络Junos OS的J-Web组件存在路径遍历漏洞，允许通过验证的攻击者绕过Junos OS内置的验证检查，向设备上传任意文件。由于Junos OS内置的验证检查，攻击者不应该能够执行该文件。成功利用该漏洞可能导致文件系统的完整性丧失。该问题影响瞻博网络Junos操作系统：19.1R3-S9之前的所有版本；19.2R3-S6之前的19.2版本；19.3R3-S7之前的19.3版本；19.4R3-S9之前的19.4版本；20.1R3-S5之前的20.1版本；20.2R3-S5之前的20.2版本；20。3版本在20.3R3-S5之前；20.4版本在20.4R3-S4之前；21.1版本在21.1R3-S2之前；21.2版本在21.2R3-S1之前；21.3版本在21.3R2-S2，21.3R3之前；21.4版本在21.4R1-S2，21.4R2-S1，21.4R3之前；22.1版本在22.1R1-S1，22.1R2。
CVE-2022-22246||瞻博网络Junos OS的J-Web组件中存在一个PHP本地文件包含（LFI）漏洞，可能允许低权限的认证攻击者执行一个不受信任的PHP文件。通过将该漏洞与其他未指明的漏洞串联起来，并规避现有的攻击要求，成功利用该漏洞可能导致系统完全被破坏。该问题影响瞻博网络Junos操作系统：19.1R3-S9之前的所有版本；19.2R3-S6之前的19.2版本；19.3R3-S6之前的19.3版本；19.4R2-S7、19.4R3-S8之前的19.4版本；20.1R3-S5之前的20.1版本；20.2R3-S5之前的20.2版本；20。3版本在20.3R3-S5之前；20.4版本在20.4R3-S4之前；21.1版本在21.1R3-S2之前；21.2版本在21.2R3-S1之前；21.3版本在21.3R2-S2，21.3R3之前；21.4版本在21.4R1-S2，21.4R2-S1，21.4R3之前；22.1版本在22.1R1-S1，22.1R2。
CVE-2022-22247||瞻博网络Junos OS Evolved的入口TCP段处理存在不当输入验证漏洞，允许基于网络的非认证攻击者向设备发送精心制作的TCP段，引发内核恐慌，导致拒绝服务（DoS）情况。继续接收和处理这个TCP段可能会造成持续的拒绝服务（DoS）情况。该问题影响到瞻博网络Junos OS Evolved：21.3R3-EVO之前的21.3版本；21.4R2-EVO之前的21.4版本；22.1R2-EVO之前的22.1版本。该问题不影响21.3R1-EVO之前的Junos OS Evolved版本。
CVE-2022-22248||在Juniper Networks Junos OS Evolved的shell处理中存在一个不正确的权限分配漏洞，允许低特权的本地用户修改配置文件的内容，这可能导致另一个用户在后续用户会话的上下文中执行任意命令。如果后续用户是一个高权限的管理员，攻击者可以利用这个漏洞完全控制目标系统。虽然这个问题是由攻击者以外的用户访问Junos shell触发的，但攻击者只需要访问Junos CLI就可以利用这个漏洞。该问题影响瞻博网络Junos OS Evolved：20.4R3-S1-EVO之前的20.4-EVO版本；21.1-EVO的所有版本；21.2R3-EVO之前的21.2-EVO版本；21.3R2-EVO之前的21.3-EVO版本。该问题不影响19.2R1-EVO之前的瞻博网络Junos OS Evolved版本。
CVE-2022-22249||MX系列上的瞻博网络Junos OS的包转发引擎(PFE)中存在一个不恰当的资源控制（贯穿其生命周期）漏洞，允许未经认证的相邻攻击者造成拒绝服务（DoS）。当出现连续的MAC移动时，内存损坏导致一个或多个FPC崩溃并重新启动。这些MAC移动可以是在两个本地接口之间，或者在核心/EVPN和本地接口之间。当这个问题发生时，在PFE的系统日志中可以看到以下错误日志：xss_event_handler(1071)。EA[0:0]_PPE 46.xss[0] ADDR 错误。 ppe_error_interrupt(4298)。EA[0:0]_PPE 46 Errors sync xtxn error xss_event_handler(1071):EA[0:0]_PPE 1.xss[0] ADDR 错误。 ppe_error_interrupt(4298):EA[0:0]_PPE 1 Errors sync xtxn error xss_event_handler(1071):EA[0:0]_PPE 2.xss[0] ADDR错误。这个问题影响到MX系列上的瞻博网络Junos操作系统。15.1R7-S13之前的所有版本；19.1R3-S9之前的19.1版本；19.2R3-S6之前的19.2版本；19.3R3-S6之前的19.3版本；19.4R2-S7、19.4R3-S8之前的19.4版本；20.1版本20。1R1及以后的版本；20.2R3-S5之前的20.2版本；20.3R3-S5之前的20.3版本；20.4R3-S2之前的20.4版本；21.1R3之前的21.1版本；21.2R3之间的21.2版本；21.3R2之前的21.3版本。
CVE-2022-2225||通过使用 warp-cli 子命令（disable-ethernet、disable-wifi），没有管理权限的用户有可能绕过配置的零信任安全策略（例如安全网络网关策略）和诸如 "锁定 WARP 开关 "等功能。
CVE-2022-22250||瞻博网络Junos OS和Junos OS Evolved的Packet Forwarding Engine（PFE）中存在一个通过其生命周期对资源进行不当控制的漏洞，允许未经认证的邻近攻击者造成拒绝服务（DoS）。在EVPN-MPLS情况下，如果MAC在接入接口上被本地学习，但后来收到删除请求，表明MAC是远程学习的，这可能导致内存损坏，从而导致线路卡崩溃和重载。这个问题会影响到瞻博网络Junos OS所有版本17.3R1和19.2R3-S5之前的后续版本；19.3R3-S5之前的19.3版本；19.4R2-S6、19.4R3-S8之前的19.4版本；20.1版本20.1R1和后续版本；20.2版本在20.2R3-S4之前的20.3版本；20.4R3-S3之前的20.4版本；21.1R3-S1之前的21.1版本；21.2R3之前的21.2版本；21.3R2之前的21.3版本；21.4R1-S1、21.4R2之前的21.4版本。瞻博网络Junos OS Evolved 20.4R3-S3-EVO之前的所有版本；21.1-EVO 21.1R1-EVO及以后的版本；21.2-EVO 21.2R3-EVO之前的版本；21.3-EVO 21.3R2-EVO之前的版本；21.4-EVO 21.4R1-S1-EVO、21.4R2-EVO之间的版本。该问题不影响17.3R1之前的瞻博网络Junos操作系统版本。
CVE-2022-22251||在cSRX系列设备上，容器文件系统和存储文件中的软件权限问题与Juniper Networks Junos OS中以可恢复格式存储密码相结合，允许本地低权限攻击者提升权限，控制cSRX软件部署的任何实例。该问题影响到瞻博网络Junos OS 20.2版本和cSRX系列上21.2R1之前的后续版本。
CVE-2022-22252||DFX模块存在UAF漏洞。成功利用该漏洞可能影响系统稳定性。
CVE-2022-22253||DFX模块存在完整性检查值验证不当的漏洞。成功利用该漏洞可能会影响系统稳定性。
CVE-2022-22254||NFC CA访问TEE时存在权限绕过漏洞。成功利用该漏洞可能会影响数据保密性。
CVE-2022-22255||应用框架有一个常见的DoS漏洞。成功利用这个漏洞可能会影响可用性。
CVE-2022-22256||DFX模块有一个访问控制漏洞。成功利用此漏洞可能会影响数据的保密性。
CVE-2022-22257||定制框架存在权限控制不当的漏洞。成功利用此漏洞可能会影响数据完整性。
CVE-2022-22258||Wi-Fi模块存在事件通知漏洞。成功利用该漏洞可能允许第三方应用程序拦截事件通知并添加信息，导致权限提升。
CVE-2022-22259||FLMG-10.0.1.0(H100SP22C00)中存在不当认证漏洞。成功利用该漏洞可能会导致对受害者设备的控制。
CVE-2022-2226||一个OpenPGP数字签名包括签名创建日期的信息。当显示含有数字签名的邮件时，会显示该邮件的日期。如果日期不同，那么Thunderbird就没有报告该邮件有无效的签名。如果攻击者进行重放攻击，即在以后的时间里重新发送带有旧内容的旧邮件，会导致受害者认为邮件中的语句是最新的。固定版本的Thunderbird会要求签名的日期与邮件的显示日期大致相符。该漏洞影响到Thunderbird < 102和Thunderbird < 91.11。
CVE-2022-22260||内核模块存在UAF漏洞。成功利用该漏洞将影响数据完整性和可用性。
CVE-2022-22261||HiAIserver在验证模型中使用的权重的有效性时存在漏洞。成功利用该漏洞将影响AI服务。
CVE-2022-22262||ROG Live Service删除安装时创建的临时文件的功能，在文件访问前存在不适当的链接解析漏洞。由于该功能在删除前没有验证路径，未认证的本地攻击者可以创建一个意外的符号链接到系统文件路径，以删除任意系统文件并破坏系统服务。
CVE-2022-22263|||SMR 1-2022版之前SecSettings中未受保护的动态接收器允许不受信任的应用程序启动任意活动。
CVE-2022-22264||在SMR 1-2022发布前，Dressroom中对传入意图的不当处理，允许本地攻击者未经许可读写任意文件。
CVE-2022-22265||SMR 1-2022年1月1日之前，NPU驱动中对特殊情况的不适当检查或处理允许任意写入内存和执行代码。
CVE-2022-22266||（仅适用于中国型号）在SMR Jan-2022 Release 1之前，TencentWifiSecurity应用程序中未受保护的WifiEvaluationService允许不受信任的应用程序在没有适当许可的情况下获取WiFi信息。
CVE-2022-22267|||SMR Jan-2022 Release 1之前ActivityMetricsLogger中的隐性意图劫持漏洞，允许攻击者获得正在运行的应用程序信息。
CVE-2022-22268||SMR Jan-2022 Release 1之前Knox Guard的不正确实现允许物理上接近的攻击者通过Samsung DeX模式临时解锁Knox Guard。
CVE-2022-22269||在SMR Jan-2022 Release 1之前将敏感数据保存在未受保护的BluetoothSettingsProvider中，允许不受信任的应用程序获得本地蓝牙MAC地址。
CVE-2022-2227||GitLab CE/EE中运行器作业API的不当访问控制，影响到14.10.5之前的所有版本，15.0.4之前的15.0版本，以及15.1.1之前的15.1版本，允许具有特定运行器的项目的前维护者在某些条件下访问作业和项目元数据。
CVE-2022-22270||SMR 1-2022版本之前的Dialer中的一个隐式意图劫持漏洞允许无特权的应用程序访问联系人信息。
CVE-2022-22271||SMR 1-2022年1月1日前的TIMA trustlet在内存复制前缺少输入验证，允许攻击者从任意内存复制数据。
CVE-2022-22272||在SMR Jan-2022 Release 1之前的TelephonyManager中不正确的授权允许攻击者在没有READ_PRIVILEGED_PHONE_STATE权限的情况下获得IMSI。
CVE-2022-22273||**分配时未获支持 **特殊元素的不当中和导致操作系统命令注入漏洞，影响到寿命终止的安全远程访问（SRA）产品和安全移动访问（SMA）100系列产品的旧固件版本，特别是运行所有8.x、9.0.0.5-19sv和早期版本的SRA设备以及运行旧固件9.0.0.9-26sv和早期版本的安全移动访问（SMA）100系列产品。
CVE-2022-22274||SonicOS中通过HTTP请求的基于堆栈的缓冲区溢出漏洞允许远程未认证的攻击者造成拒绝服务（DoS）或可能导致防火墙中的代码执行。
CVE-2022-22275||从广域网到DMZ的HTTP/S入站流量的TCP通信通道限制不当，绕过安全策略直到TCP握手，如果目标主机有漏洞，可能导致拒绝服务（DoS）攻击。
CVE-2022-22276||SonicOS SNMP服务中的一个漏洞，导致敏感信息暴露给未授权用户。
CVE-2022-22277||SonicOS SNMP服務存在漏洞，導致無線接入點的敏感信息以明文形式暴露。
CVE-2022-22278||SonicOS CFS（内容过滤服务）中的一个漏洞，当用户试图访问被禁止的资源时，向源地址返回一个大的403禁止HTTP响应消息，这允许攻击者造成HTTP拒绝服务（DoS）攻击。
CVE-2022-22279||**分配时未获支持 **一个认证后任意读取文件的漏洞，影响到生命末期的安全远程访问（SRA）产品和较早固件版本的安全移动访问（SMA）100系列产品，特别是运行所有8.x、9.0.0.5-19sv和早期版本的SRA设备以及运行较早固件9.0.0.9-26sv和早期版本的安全移动访问（SMA）100系列产品。
CVE-2022-2228||GitLab EE中的信息暴露，影响到14.10.5之前的12.0、15.0.4之前的15.0和15.1.1之前的所有版本，即使GitLab Runner从允许的IP范围之外调用，拥有适当访问令牌的攻击者也可以获得使用基于IP访问限制的组中的CI变量。
CVE-2022-22280||SQL命令中使用的特殊元素中和不当，导致未经认证的SQL注入漏洞，影响SonicWall GMS 9.3.1-SP2-Hotfix1、Analytics On-Prem 2.5.0.3-2520和早期版本。
CVE-2022-22281||10.2.322及以前版本中SonicWall SSL-VPN NetExtender Windows Client（32和64位）存在缓冲区溢出漏洞，允许攻击者在主机Windows操作系统中潜在执行任意代码。
CVE-2022-22282||SonicWall SMA1000系列固件12.4.0, 12.4.1-02965和早期版本不正确地限制未授权行为者使用HTTP连接访问资源，导致不当访问控制漏洞。
CVE-2022-22283||6.20.1.005之前的Samsung Health中存在不当会话管理漏洞，导致无法从Samsung Health应用中注销。
CVE-2022-22284||16.0.2.19之前的Samsung Internet中不正确的认证漏洞允许攻击者绕过秘密模式密码认证。
CVE-2022-22285||Android R(11.0)中12.2.05.0和Android S(12.0)中12.3.02.1000版本之前的Reminder中使用PendingIntent的漏洞允许攻击者通过劫持和修改意图执行特权行动。
CVE-2022-22286|||在Android R(11.0)的3.1.21.8版和Android Q(10.0)的2.6.30.5版之前的Bixby Routines中使用PendingIntent的漏洞，允许攻击者通过劫持和修改意图执行特权行动。
CVE-2022-22287|||6.1.60.16之前的Samsung Email的任意文件访问漏洞，允许攻击者在沙盒中读取孤立的数据。
CVE-2022-22288||4.5.36.5之前的Galaxy Store中存在不当授权漏洞，允许远程应用安装允许列表。
CVE-2022-22289||7.5版以前的S助手中存在不当的访问控制漏洞，允许攻击者远程获取敏感信息。
CVE-2022-2229||GitLab CE/EE中的不当授权问题，影响到14.10.5之前的13.7、15.0.4之前的15.0和15.1.1之前的所有版本，允许攻击者提取他们知道名字的公共项目或他们是成员的私人项目中未受保护的变量的值。
CVE-2022-22290||16.0.6.23之前的Samsung Internet中的下载源UI不正确，允许攻击者通过制作的HTML页面进行域名欺骗。
CVE-2022-22291||SMR Feb-2022 Release 1之前的电话中存在记录过多数据的漏洞，允许特权攻击者通过用户设备的日志获取小区位置信息。
CVE-2022-22292||在SMR Feb-2022 Release 1之前，电信中未受保护的动态接收器允许不受信任的应用程序启动任意活动。
CVE-2022-22293||Dolibarr 7.0.2中的admin/limits.php允许HTML注入，如MAIN_MAX_DECIMALS_TOT参数所显示。
CVE-2022-22294||ZFAKA<=1.43中存在SQL注入漏洞，攻击者可利用该漏洞在前台完成SQL注入并添加后台管理员账户。
CVE-2022-22295||Metinfo v7.5.0被发现在参数_admin.class.php中包含一个通过table_para参数的SQL注入漏洞。
CVE-2022-22296||Sourcecodester医院的病人记录管理系统1.0通过manage_user端点的id参数存在不安全权限的漏洞。只需改变该值，即可显示其他用户的数据。
CVE-2022-22299||FortiADC 6.0.0至6.0.4版、FortiADC 6.1.0至6.1.5版、FortiADC 6.2.0至6.2.1, FortiProxy版本1.0.0至1.0.7, FortiProxy版本1.1.0至1.1.6, FortiProxy版本1.2.0至1.2.13, FortiProxy版本2.0.0至2.0。7, FortiProxy版本7.0.0至7.0.1, FortiOS版本6.0.0至6.0.14, FortiOS版本6.2.0至6.2.10, FortiOS版本6.4.0至6.4.8, FortiOS版本7.0.0至7.0。2、FortiMail版本6.4.0至6.4.5、FortiMail版本7.0.0至7.0.2可能允许认证的用户通过特制的命令参数执行未经授权的代码或命令。
CVE-2022-2230||GitLab CE/EE中的项目设置页面存在存储跨站脚本漏洞，影响14.4至14.10.5之前的所有版本、15.0.4之前的15.0和15.1.1之前的15.1，允许攻击者代表受害者在GitLab中执行任意JavaScript代码。
CVE-2022-22300||Fortinet FortiAnalyzer 5.6.0至5.6.11版、FortiAnalyzer 6.0.0至6.0.11版、FortiAnalyzer 6.2.0至6.2.9版、FortiAnalyzer 6.4.0至6.4.7版、FortiAnalyzer 7.0.0至7.2, FortiManager版本5.6.0至5.6.11, FortiManager版本6.0.0至6.0.11, FortiManager版本6.2.0至6.2.9, FortiManager版本6.4.0至6.4.7, FortiManager版本7.0.0至7.0.2允许攻击者绕过设备策略并强制对其用户进行密码修改操作。
CVE-2022-22301||在FortiAP-C控制台5.4.0至5.4.3、5.2.0至5.2.1中，对操作系统命令漏洞[CWE-78]中使用的特殊元素的不当中和，可能允许认证的攻击者通过运行具有特别制作的参数的CLI命令来执行未授权命令。
CVE-2022-22303||在FortiManager 7.0.2、6.4.7和6.2.9之前的版本中，敏感系统信息暴露于未经授权的控制领域漏洞[CWE-497]，可能允许低权限的认证用户通过配置冲突文件获得对FortiGate用户凭据的访问。
CVE-2022-22304||FortiAuthenticator OWA Agent for Microsoft version 2.2 and 2.1中存在的网页生成过程中输入不正确的中和漏洞[CWE-79]，可能允许未经认证的攻击者通过精心制作的HTTP GET请求进行XSS攻击。
CVE-2022-22306||FortiOS 6.0.0至6.0.14、6.2.0至6.2.10、6.4.0至6.4.8、7.0.0中存在不当的证书验证漏洞[CWE-295]，可能允许网络相邻和未认证的攻击者在FortiGate和一些对等体（如私有SDN和外部云平台）之间进行中间人通信。
CVE-2022-22308||IBM Planning Analytics 2.0容易受到远程文件包含（RFI）攻击。用户输入可能被传入文件包含命令中，网络应用可能被欺骗，包括带有恶意代码的远程文件。IBM X-Force ID：216891。
CVE-2022-22309||POWER系统FSP存在通过串行端口/TY接口进行未经认证的登录的漏洞。如果串行端口连接到串行-over-lan设备，该漏洞可能更加严重。IBM X-Force ID：217095。
CVE-2022-2231||GitHub 存储库 vim/vim 8.2 之前的 NULL 指针解读。
CVE-2022-22310||IBM WebSphere Application Server Liberty 21.0.0.10至21.0.0.12可能提供比预期更弱的安全性。远程攻击者可以利用这一弱点获取敏感信息，并在未经授权的情况下访问JAX-WS应用程序。IBM X-Force ID：217224。
CVE-2022-22311||IBM Security Verify Access可能允许用户利用中间人技术获得敏感信息，或由于JWT令牌验证不当而可能改变一些信息。
CVE-2022-223||IBM Security Identity Manager (IBM Security Verify Password Synchronization Plug-in for Windows AD 10.x)存在拒绝服务的风险，原因是密码同步插件中存在基于堆的缓冲区溢出。已认证的攻击者可利用该漏洞导致拒绝服务。IBM X-Force ID：217369。
CVE-2022-22314||IBM Planning Analytics Local 2.0允许网页存储在本地，可以被系统中的另一个用户读取。IBM X-Force ID：217371。
CVE-2022-22315||IBM UrbanCode Deploy (UCD) 7.2.2.1可能允许具有特殊权限的认证用户因权限处理不当而获得更高权限。IBM X-Force ID：217955。
CVE-2022-22316||IBM MQ Appliance 9.2 CD和9.2 LTS可能允许已认证和授权的用户由于不正确配置的授权检查而导致拒绝服务。IBM X-Force ID：218276。
CVE-2022-22317||IBM Curam Social Program Management 8.0.0和8.0.1在注销后没有使会话失效，这可能允许认证的用户冒充系统中的另一个用户。IBM X-Force ID：218281。
CVE-2022-22318||IBM Curam Social Program Management 8.0.0和8.0.1在注销后不会使会话失效，这可能会允许已认证的用户冒充系统上的另一个用户。
CVE-2022-22319||IBM Robotic Process Automation 21.0.1可能允许系统上的注册用户物理删除一个队列，这可能导致任何依赖该队列的脚本中断。IBM X-Force ID：218366。
CVE-2022-22320||IBM QRadar SIEM 7.3和7.4存在跨站脚本漏洞。该漏洞允许用户在Web UI中嵌入任意JavaScript代码，从而改变预期功能，可能导致可信会话中的凭证泄露。IBM X-Force ID: 218367.
CVE-2022-22321||IBM MQ Appliance 9.2 CD和9.2 LTS本地消息用户存储的密码哈希值提供的保护不足。IBM X-Force ID: 218368。
CVE-2022-223||IBM InfoSphere Information Server 11.7存在跨站脚本漏洞。该漏洞允许用户在Web UI中嵌入任意JavaScript代码，从而改变预期功能，可能导致可信会话中的凭证泄露。IBM X-Force ID：218370。
CVE-2022-223||IBM Security Identity Manager (IBM Security Verify Password Synchronization Plug-in for Windows AD 10.x)存在拒绝服务的漏洞，原因是密码同步插件中存在基于堆的缓冲区溢出。已认证的攻击者可利用该漏洞导致拒绝服务。IBM X-Force ID：218379。
CVE-2022-22325||IBM MQ (IBM MQ for HPE NonStop 8.1.0)在某些情况下会无意中从堆栈跟踪中向本地用户披露敏感信息。IBM X-Force ID：218853。
CVE-2022-22326||IBM Datapower Gateway 10.0.2.0至10.0.4.0，10.0.1.0至10.0.1.5，以及2018.4.1.0至2018.4.1.18，由于授权检查不足，可能允许未经授权查看日志和文件。IBM X-Force ID：218856。
CVE-2022-22327||IBM UrbanCode Deploy (UCD) 7.0.5, 7.1.0, 7.1.1, and 7.1.2使用比预期更弱的加密算法，可能允许攻击者解密高度敏感信息。IBM X-Force ID：218859。
CVE-2022-22328||IBM SterlingPartner Engagement Manager 6.2.0可能允许恶意用户提升自己的权限，对其他用户的数据进行非预期的操作。IBM X-Force ID：218871。
CVE-2022-22329||IBM Control Desk 7.6.1没有对授权令牌或会话cookies设置安全属性。攻击者可能通过向用户发送http://，或在用户进入的网站中植入此链接，从而获得cookie值。Cookie将被发送到不安全的链接，然后攻击者可以通过窥探流量获得cookie值。IBM X-Force ID：219124。
CVE-2022-2233||WordPress的Banner Cycler插件在1.4以下的版本中存在跨站请求伪造漏洞。这是由于~/admin/admin.php文件中的pabc_admin_slides_postback()函数缺少非授权保护。这使得未经认证的攻击者有可能在页面中注入恶意的网页脚本，从而诱使网站管理员执行诸如点击链接等操作。
CVE-2022-22330||IBM Control Desk 7.6.1可能允许远程攻击者获得敏感信息，这是由于没有设置HTTPOnly标志造成的。远程攻击者可利用此漏洞，从cookie中获取敏感信息。IBM X-Force ID: 219126.
CVE-2022-22331||IBM SterlingPartner Engagement Manager 6.2.0可能允许远程认证的攻击者获取敏感信息或修改用户详细信息，这是由不安全的直接对象漏洞（IDOR）引起的。IBM X-Force ID：219130。
CVE-2022-22332||IBM Sterling Partner Engagement Manager 6.2.0由于缺少JWT令牌的撤销机制，可能允许攻击者冒充其他用户。IBM X-Force ID：219131。
CVE-2022-22333||IBM Sterling Secure Proxy 6.0.3.0, 6.0.2.0, and 3.4.3.2 and IBM Sterling External Authentication Server存在缓冲区溢出问题，原因是安全区中基于Jetty的GUI没有正确验证提交的表单内容和/或HTTP头的大小。位于安全区的本地攻击者可以提交特制的HTTP请求来破坏服务。IBM X-Force ID：219133。
CVE-2022-22334||IBM Robotic Process Automation 21.0.0, 21.0.1, and 21.0.2可能允许用户访问他们不应访问的租户的信息。IBM X-Force ID：219391。
