CVE-2021-22400||部分华为智能手机由于缺乏参数验证，存在输入验证不足的漏洞。攻击者可能欺骗用户安装一个恶意的APP。该应用程序可以修改特定参数，导致系统崩溃。Affected product include:OxfordS-AN00A 10.0.1.10(C00E10R1P1),10.0.1.105(C00E103R3P3),10.0.1.115(C00E110R3P3),10.0.1.123(C00E121R3P3),10.0.1.135(C00E130R3P3),10.0.1.135(C00E130R4P1),10.0.1.152(C00E140R4P1),10.0.1.160(C00E160R4P1),10.0.1.167(C00E166R4P1),10.0.1.173(C00E172R5P1),10.0.1.178(C00E175R5P1) and 10.1.0.202(C00E79R5P1).
CVE-2021-22813||A CWE-79:存在网页生成过程中输入不正确的中和（"跨站脚本"）漏洞，当特权账户点击专门为NMC制作的指向编辑策略文件的恶意URL时，可能导致任意脚本执行。受影响的产品。使用NMC2的单相不间断电源（UPS），包括Smart-UPS、Symmetra，以及带有网络管理卡2（NMC2）的Galaxy 3500。AP9630/AP9630CH/AP9630J, AP9631/AP9631CH/AP9631J, AP9635/AP9635J (NMC2 AOS V6.9.8及以前版本), 使用NMC2的3相不间断电源（UPS）包括Symmetra PX 250/500（SYPX）网络管理卡2（NMC2）。ap9630/ap9630ch/ap9630j, ap9631/ap9631ch/ap9631j, ap9635/ap9635j (nmc2 aos v6.9.6和更早的版本），使用NMC2的3相不间断电源（UPS），包括Symmetra PX 48/96/100/160 kW UPS（PX2），Symmetra PX 20/40 kW UPS（SY3P），Gutor（SXW, GVX）和Galaxy（GVMTS, GVMSA, GVXTS, GVXSA, G7K，GFC，G9KCHU）。AP9630/AP9630CH/AP9630J、AP9631/AP9631CH/AP9631J、AP9635/AP9635CH（NMC2 AOS V6.9.6及更早版本），使用NMC3的单相不间断电源（UPS），包括Smart-UPS、Symmetra，以及使用网络管理卡3（NMC3）的Galaxy 3500。AP9640/AP9640J、AP9641/AP9641J、AP9643/AP9643J（NMC3 AOS V1.4.2.1及更早版本），使用NMC2的APC机架式配电装置（PDU） 2G计量/交换式机架PDU，带嵌入式NMC2。AP84XX, AP86XX, AP88XX, AP89XX (NMC2 AOS V6.9.6及更早版本), 使用NMC3的APC机架式电源分配器(PDU) 2G计量/开关机架式电源分配器与嵌入式NMC3: APDU99xx (NMC3 AOS V1.4.0及更早版本），使用NMC2 Galaxy RPP的APC 3相配电产品：GRPPIP2X84（NMC2 AOS V6.9.6及更早版本），用于InfraStruxure 150 kVA PDU with 84极（X84P）的网络管理卡2（NMC2）。PDPB150G6F (NMC2 AOS V6.9.6及更早版本），用于InfraStruxure 40/60kVA PDU（XPDU）的网管卡2 PD40G6FK1-M, PD40F6FK1-M, PD40L6FK1-M, PDRPPNX10 M,PD60G6FK1, PD60F6FK1, PD60L6FK1, PDRPPNX10, PD40E5EK20-M, PD40H5EK20-M（NMC2 AOS V6．9.6及更早版本），网络管理卡2用于模块化150/175kVA PDU（XRDP）。PDPM150G6F, PDPM150L6F, PDPM175G6H (NMC2 AOS V6.9.6及以前版本), 用于400和500kVA的网管卡2 (PMM):PMM400-ALA, PMM400-ALAX, PMM400-CUB, PMM500-ALA, PMM500-ALAX, PMM500-CUB (NMC2 AOS V6.9.6及以前版本), 用于模块化PDU的网管卡2 (XRDP2G):PDPM72F-5U、PDPM138H-5U、PDPM144F、PDPM138H-R、PDPM277H、PDPM288G6H（NMC2 AOS V6.9.6及以前版本），机架式自动转换开关（ATS）嵌入NMC2。机架式自动转换开关-AP44XX（ATS4G）（NMC2 AOS V6.9.6及更早版本），网络管理卡2（NMC2） 冷却产品。用于ACRP5xx、ACRP1xx、ACRD5xx和ACRC5xx系列SKU的InRow Cooling（ACRP2G），用于ACRC10x系列SKU的InRow Cooling（RC10X2G），用于ACRD6xx和ACRC6xx系列SKU的InRow Cooling（ACRD2G），用于ACRD3xx系列的InRow Cooling显示器（ACRC2G）。用于ACSC1xx系列SKU的InRow Cooling（SC2G），用于ACRD1xx和ACRD2xx系列的InRow Cooling（ACRPTK2G），Ecoflair IAEC25/50空气节能器显示器（EB2G），Uniflair SP UCF0481I、UCF0341I（UNFLRSP），Uniflair LE DX周边冷却显示器的SKU。IDAV, IDEV, IDWV, IUAV, IUEV, IUWV, IXAV, IXEV, IXWV, LDAV, LDEV, and LDWV (LEDX2G), 制冷剂分配单元。ACDA9xx (RDU)（NMC2 AOS V6.9.6及更早版本），带有嵌入式NMC2的环境监测单元（NB250）。NetBotz NBRK0250（NMC2 AOS V6.9.6及以前版本），以及网络管理卡2（NMC2）。AP9922电池管理系统（BM4）（NMC2 AOS V6.9.6及以前版本）。
CVE-2021-22814||A CWE-79:在网页生成过程中不正确的中和输入（"跨站脚本"）漏洞存在，当恶意文件被读取和显示时可能导致任意脚本执行。受影响的产品。使用NMC2的单相不间断电源（UPS），包括Smart-UPS、Symmetra和带有网络管理卡2（NMC2）的Galaxy 3500。AP9630/AP9630CH/AP9630J, AP9631/AP9631CH/AP9631J, AP9635/AP9635J (NMC2 AOS V6.9.8及以前版本), 使用NMC2的3相不间断电源（UPS）包括Symmetra PX 250/500（SYPX）网络管理卡2（NMC2）。ap9630/ap9630ch/ap9630j, ap9631/ap9631ch/ap9631j, ap9635/ap9635j (nmc2 aos v6.9.6和更早的版本），使用NMC2的3相不间断电源（UPS），包括Symmetra PX 48/96/100/160 kW UPS（PX2），Symmetra PX 20/40 kW UPS（SY3P），Gutor（SXW, GVX）和Galaxy（GVMTS, GVMSA, GVXTS, GVXSA, G7K，GFC，G9KCHU）。AP9630/AP9630CH/AP9630J、AP9631/AP9631CH/AP9631J、AP9635/AP9635CH（NMC2 AOS V6.9.6及更早版本），使用NMC3的单相不间断电源（UPS），包括Smart-UPS、Symmetra，以及使用网络管理卡3（NMC3）的Galaxy 3500。AP9640/AP9640J、AP9641/AP9641J、AP9643/AP9643J（NMC3 AOS V1.4.2.1及更早版本），使用NMC2的APC机架式配电装置（PDU） 2G计量/交换式机架PDU，带嵌入式NMC2。AP84XX, AP86XX, AP88XX, AP89XX (NMC2 AOS V6.9.6及更早版本), 使用NMC3的APC机架式电源分配器(PDU) 2G计量/开关机架式电源分配器与嵌入式NMC3: APDU99xx (NMC3 AOS V1.4.0及更早版本），使用NMC2 Galaxy RPP的APC 3相配电产品：GRPPIP2X84（NMC2 AOS V6.9.6及更早版本），用于InfraStruxure 150 kVA PDU with 84极（X84P）的网络管理卡2（NMC2）。PDPB150G6F (NMC2 AOS V6.9.6及更早版本），用于InfraStruxure 40/60kVA PDU（XPDU）的网管卡2 PD40G6FK1-M, PD40F6FK1-M, PD40L6FK1-M, PDRPPNX10 M,PD60G6FK1, PD60F6FK1, PD60L6FK1, PDRPPNX10, PD40E5EK20-M, PD40H5EK20-M（NMC2 AOS V6．9.6及更早版本），网络管理卡2用于模块化150/175kVA PDU（XRDP）。PDPM150G6F, PDPM150L6F, PDPM175G6H (NMC2 AOS V6.9.6及以前版本), 用于400和500kVA的网管卡2 (PMM):PMM400-ALA, PMM400-ALAX, PMM400-CUB, PMM500-ALA, PMM500-ALAX, PMM500-CUB (NMC2 AOS V6.9.6及以前版本), 用于模块化PDU的网管卡2 (XRDP2G):PDPM72F-5U、PDPM138H-5U、PDPM144F、PDPM138H-R、PDPM277H、PDPM288G6H（NMC2 AOS V6.9.6及以前版本），机架式自动转换开关（ATS）嵌入NMC2。机架式自动转换开关-AP44XX（ATS4G）（NMC2 AOS V6.9.6及更早版本），网络管理卡2（NMC2） 冷却产品。用于ACRP5xx、ACRP1xx、ACRD5xx和ACRC5xx系列SKU的InRow Cooling（ACRP2G），用于ACRC10x系列SKU的InRow Cooling（RC10X2G），用于ACRD6xx和ACRC6xx系列SKU的InRow Cooling（ACRD2G），用于ACRD3xx系列的InRow Cooling显示器（ACRC2G）。用于ACSC1xx系列SKU的InRow Cooling（SC2G），用于ACRD1xx和ACRD2xx系列的InRow Cooling（ACRPTK2G），Ecoflair IAEC25/50空气节能器显示器（EB2G），Uniflair SP UCF0481I、UCF0341I（UNFLRSP），Uniflair LE DX周边冷却显示器的SKU。IDAV, IDEV, IDWV, IUAV, IUEV, IUWV, IXAV, IXEV, IXWV, LDAV, LDEV, and LDWV (LEDX2G), 制冷剂分配单元。ACDA9xx (RDU)（NMC2 AOS V6.9.6及更早版本），带有嵌入式NMC2的环境监测单元（NB250）。NetBotz NBRK0250（NMC2 AOS V6.9.6及以前版本），以及网络管理卡2（NMC2）。AP9922电池管理系统（BM4）（NMC2 AOS V6.9.6及以前版本）。
CVE-2021-22815||A CWE-200：存在信息暴露漏洞，可能导致故障排除档案被访问。受影响的产品。使用NMC2的单相不间断电源（UPS），包括Smart-UPS、Symmetra和带有网络管理卡2（NMC2）的Galaxy 3500。AP9630/AP9630CH/AP9630J, AP9631/AP9631CH/AP9631J, AP9635/AP9635J (NMC2 AOS V6.9.8及以前版本), 使用NMC2的3相不间断电源（UPS）包括Symmetra PX 250/500（SYPX）网络管理卡2（NMC2）。ap9630/ap9630ch/ap9630j, ap9631/ap9631ch/ap9631j, ap9635/ap9635j (nmc2 aos v6.9.6和更早的版本），使用NMC2的3相不间断电源（UPS），包括Symmetra PX 48/96/100/160 kW UPS（PX2），Symmetra PX 20/40 kW UPS（SY3P），Gutor（SXW, GVX）和Galaxy（GVMTS, GVMSA, GVXTS, GVXSA, G7K，GFC，G9KCHU）。AP9630/AP9630CH/AP9630J、AP9631/AP9631CH/AP9631J、AP9635/AP9635CH（NMC2 AOS V6.9.6及更早版本），使用NMC3的单相不间断电源（UPS），包括Smart-UPS、Symmetra，以及使用网络管理卡3（NMC3）的Galaxy 3500。AP9640/AP9640J、AP9641/AP9641J、AP9643/AP9643J（NMC3 AOS V1.4.2.1及更早版本），使用NMC2的APC机架式配电装置（PDU） 2G计量/交换式机架PDU，带嵌入式NMC2。AP84XX, AP86XX, AP88XX, AP89XX (NMC2 AOS V6.9.6及更早版本), 使用NMC3的APC机架式电源分配器(PDU) 2G计量/开关机架式电源分配器与嵌入式NMC3: APDU99xx (NMC3 AOS V1.4.0及更早版本），使用NMC2 Galaxy RPP的APC 3相配电产品：GRPPIP2X84（NMC2 AOS V6.9.6及更早版本），用于InfraStruxure 150 kVA PDU with 84极（X84P）的网络管理卡2（NMC2）。PDPB150G6F (NMC2 AOS V6.9.6及更早版本），用于InfraStruxure 40/60kVA PDU（XPDU）的网管卡2 PD40G6FK1-M, PD40F6FK1-M, PD40L6FK1-M, PDRPPNX10 M,PD60G6FK1, PD60F6FK1, PD60L6FK1, PDRPPNX10, PD40E5EK20-M, PD40H5EK20-M（NMC2 AOS V6．9.6及更早版本），网络管理卡2用于模块化150/175kVA PDU（XRDP）。PDPM150G6F, PDPM150L6F, PDPM175G6H (NMC2 AOS V6.9.6及以前版本), 用于400和500kVA的网管卡2 (PMM):PMM400-ALA, PMM400-ALAX, PMM400-CUB, PMM500-ALA, PMM500-ALAX, PMM500-CUB (NMC2 AOS V6.9.6及以前版本), 用于模块化PDU的网管卡2 (XRDP2G):PDPM72F-5U、PDPM138H-5U、PDPM144F、PDPM138H-R、PDPM277H、PDPM288G6H（NMC2 AOS V6.9.6及以前版本），机架式自动转换开关（ATS）嵌入NMC2。机架式自动转换开关-AP44XX（ATS4G）（NMC2 AOS V6.9.6及更早版本），网络管理卡2（NMC2） 冷却产品。用于ACRP5xx、ACRP1xx、ACRD5xx和ACRC5xx系列SKU的InRow Cooling（ACRP2G），用于ACRC10x系列SKU的InRow Cooling（RC10X2G），用于ACRD6xx和ACRC6xx系列SKU的InRow Cooling（ACRD2G），用于ACRD3xx系列的InRow Cooling显示器（ACRC2G）。用于ACSC1xx系列SKU的InRow Cooling（SC2G），用于ACRD1xx和ACRD2xx系列的InRow Cooling（ACRPTK2G），Ecoflair IAEC25/50空气节能器显示器（EB2G），Uniflair SP UCF0481I、UCF0341I（UNFLRSP），Uniflair LE DX周边冷却显示器的SKU。IDAV, IDEV, IDWV, IUAV, IUEV, IUWV, IXAV, IXEV, IXWV, LDAV, LDEV, and LDWV (LEDX2G), 制冷剂分配单元。ACDA9xx (RDU)（NMC2 AOS V6.9.6及更早版本），带有嵌入式NMC2的环境监测单元（NB250）。NetBotz NBRK0250（NMC2 AOS V6.9.6及以前版本），以及网络管理卡2（NMC2）。AP9922电池管理系统（BM4）（NMC2 AOS V6.9.6及以前版本）。
CVE-2021-22816||A CWE-754: 不当检查异常或例外情况漏洞存在，当通过Modbus接收特制的请求，且RTU被配置为Modbus服务器时，可能导致RTU的拒绝服务。受影响的产品。SCADAPack 312E, 313E, 314E, 330E, 333E, 334E, 337E, 350E 和 357E RTU，固件为V8.18.1及以前版本
CVE-2021-22817||A CWE-276:存在不正确的默认权限漏洞，可能导致对基本安装目录的未授权访问，从而导致本地权限升级。受影响的产品。Harmony/Magelis iPC系列（所有版本），Vijeo Designer（V6.2 SP11多个HotFix 4之前的所有版本），Vijeo Designer Basic（V1.2.1之前的所有版本）。
CVE-2021-22818||A CWE-307不当限制过多的认证尝试漏洞存在，可能允许攻击者通过执行暴力攻击获得对充电站网络界面的未授权访问。受影响的产品。EVlink City EVC1S22P4 / EVC1S7P4（R8 V3.4.0.2之前的所有版本），EVlink Parking EVW2 / EVF2 / EVP2PE（R8 V3.4.0.2之前的所有版本），和EVlink Smart Wallbox EVB1A（R8 V3.4.0.2之前的所有版本）
CVE-2021-22819||A CWE-1021不当限制渲染的用户界面层或框架漏洞存在，当欺骗用户使用iframes内渲染的Web界面时，可能导致对产品设置或用户账户的非故意修改。受影响的产品。EVlink City EVC1S22P4 / EVC1S7P4（R8 V3.4.0.2之前的所有版本），EVlink Parking EVW2 / EVF2 / EVP2PE（R8 V3.4.0.2之前的所有版本），以及EVlink Smart Wallbox EVB1A（R8 V3.4.0.2之前的所有版本）
CVE-2021-2282||在Oracle Virtualization的Oracle VM VirtualBox产品（组件：Core）中存在漏洞。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许未经认证的攻击者登录到执行Oracle VM VirtualBox的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据的未授权访问或对所有Oracle VM VirtualBox可访问数据的完全访问。CVSS 3.1基础得分7.1（保密性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N) 。
CVE-2021-22820||A CWE-614 Insufficient Session Expiration 漏洞存在，可允许攻击者通过劫持的会话维持对充电器站网络服务器的未授权访问，即使合法用户账户持有人已更改密码。受影响的产品。EVlink City EVC1S22P4 / EVC1S7P4（R8 V3.4.0.2之前的所有版本），EVlink Parking EVW2 / EVF2 / EVP2PE（R8 V3.4.0.2之前的所有版本），和EVlink Smart Wallbox EVB1A（R8 V3.4.0.2之前的所有版本）
CVE-2021-22821||存在CWE-918服务器端请求伪造（SSRF）漏洞，当精心制作的恶意参数提交给充电站网络服务器时，可能导致充电站网络服务器将请求转发给非预期的网络目标。受影响的产品。EVlink City EVC1S22P4 / EVC1S7P4（R8 V3.4.0.2之前的所有版本），EVlink Parking EVW2 / EVF2 / EVP2PE（R8 V3.4.0.2之前的所有版本），和EVlink Smart Wallbox EVB1A（R8 V3.4.0.2之前的所有版本）
CVE-2021-22822||A CWE-79网页生成过程中输入的不当中和(?跨站脚本?)漏洞存在，当制作的恶意参数提交给充电站网络服务器时，攻击者可以冒充管理充电站的用户或代表他们进行操作。受影响的产品。EVlink City EVC1S22P4 / EVC1S7P4（R8 V3.4.0.2之前的所有版本），EVlink Parking EVW2 / EVF2 / EVP2PE（R8 V3.4.0.2之前的所有版本），和EVlink Smart Wallbox EVB1A（R8 V3.4.0.2之前的所有版本）
CVE-2021-22823||A CWE-306:存在关键功能认证缺失的漏洞，由于缺乏对网络信息的验证，可能导致在运行IGSS的用户环境中删除任意文件。受影响的产品。交互式图形SCADA系统数据采集器（dc.exe）（V15.0.0.21320及以前版本）。
CVE-2021-22824A CWE-120: Buffer Copy without Checking Size of Input 漏洞存在，可能导致拒绝服务，原因是缺少对网络上收到的构造消息中用户提供的数据的长度检查。受影响的产品。交互式图形SCADA系统数据采集器（dc.exe）（V15.0.0.21320及以前版本）
CVE-2021-22825A CWE-200: 敏感信息暴露于未经授权的行为者漏洞存在，当特权账户点击破坏安全令牌的恶意 URL 时，可能允许攻击者以高权限访问系统。受影响的产品。使用NMC2（V6.9.6或更早）的AP7xxxx和AP8xxx，使用NMC3（V1.1.0.3或更早）的AP7xxx和AP8xxx，以及使用NMC3（V1.0.0.28或更早）的APDU9xxx
CVE-2021-22826||A CWE-20。存在不当的输入验证漏洞，当用户访问包含注入的有效载荷的页面时，可能导致任意代码执行。此CVE与CVE-2021-22827是唯一的。受影响的产品。EcoStruxure?电力监控专家9.0及以前的版本
CVE-2021-22827||A CWE-20。存在不当的输入验证漏洞，当用户访问包含注入的有效载荷的页面时，可能导致任意代码执行。此CVE与CVE-2021-22826是唯一的。受影响的产品。EcoStruxure?电力监控专家9.0及以前的版本
CVE-2021-2283||Oracle Virtualization的Oracle VM VirtualBox产品中的漏洞（组件：Core）。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许未经认证的攻击者登录到执行Oracle VM VirtualBox的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据的未授权访问或对所有Oracle VM VirtualBox可访问数据的完全访问。CVSS 3.1基础得分7.1（保密性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N) 。
CVE-2021-2284||Oracle Virtualization的Oracle VM VirtualBox产品（组件：Core）存在漏洞。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许未经认证的攻击者登录到执行Oracle VM VirtualBox的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据或所有Oracle VM VirtualBox可访问数据的未授权创建、删除或修改访问。CVSS 3.1基础得分7.1（完整性影响）。CVSS向量：（CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N）。
CVE-2021-22847||Hyweb HyCMS-J1的API未能过滤POST请求参数。远程攻击者可以注入SQL语法并在没有权限的情况下执行命令。
CVE-2021-22848||HGiga MailSherlock包含一个SQL注入。远程攻击者可以在没有权限的情况下在邮件页面的URL参数中注入SQL语法并执行SQL命令。
CVE-2021-22849||Hyweb HyCMS-J1 后台编辑功能没有过滤特殊字符。用户登录后可注入JavaScript语法，进行存储式XSS（存储式跨站脚本）攻击。
CVE-2021-2285||Oracle Virtualization的Oracle VM VirtualBox产品（组件：Core）存在漏洞。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许未经认证的攻击者登录到执行Oracle VM VirtualBox的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据的未授权访问或对所有Oracle VM VirtualBox可访问数据的完全访问。CVSS 3.1基础得分7.1（保密性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N) 。
CVE-2021-22850||HGiga EIP产品在某些页面缺乏有效的访问控制，允许攻击者访问数据库或执行特权功能。
CVE-2021-22851||HGiga EIP产品包含SQL注入漏洞。攻击者可向特定的URL参数（文档管理页面）注入SQL命令，获取数据库模式和数据。
CVE-2021-22852||HGiga EIP产品包含SQL注入漏洞。攻击者可向特定的URL参数（在线注册）注入SQL命令，获取数据库模式和数据。
CVE-2021-22853||Soar云系统的人力资源门户未能管理访问控制。远程攻击者在获取用户ID时，可以通过特定的数据包获取敏感数据，如用户的登录信息，进一步导致登录功能无法使用。
CVE-2021-22854||Soar云系统的人力资源门户未能过滤特定参数。远程攻击者可以在没有权限的情况下注入SQL语法并获得数据库中的所有数据。
CVE-2021-22855||Soar云系统的人力资源门户的特定功能接受任何类型的对象被反序列化。攻击者可以发送恶意的序列化对象来执行任意命令。
CVE-2021-22856||CGE物业管理系统包含SQL注入漏洞。远程攻击者可以向Cookie中的参数注入SQL命令，并在没有权限的情况下获取数据库中的数据。
CVE-2021-22857||带有下载功能的CGE页面包含目录遍历漏洞。攻击者可利用此漏洞任意下载系统文件。
CVE-2021-22858||攻击者可以在没有权限的情况下访问CGE账户管理功能进行权限提升，在获得用户权限后执行任意命令或文件。
CVE-2021-22859||EIC电子文档系统的用户数据查询功能没有过滤特殊字符，导致远程攻击者可以在没有权限的情况下注入SQL语法并执行任意命令。
CVE-2021-2286||Oracle虚拟化的Oracle VM VirtualBox产品（组件：Core）存在漏洞。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许未经认证的攻击者登录到执行Oracle VM VirtualBox的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据或所有Oracle VM VirtualBox可访问数据的未授权创建、删除或修改访问。CVSS 3.1基础得分7.1（完整性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C:N/I:H/A:N)。
CVE-2021-22860||EIC e-document system does not perform completed identity verification for sorting and filtering personnel data.该漏洞允许远程攻击者在未登录系统的情况下获取用户的凭证信息，并进一步获取特权权限，执行任意命令。
CVE-2021-22861||在GitHub企业服务器中发现一个不当的访问控制漏洞，允许实例的认证用户通过特别制作的拉动请求和REST API请求获得对未授权存储库的写入权限。攻击者需要能够分叉目标仓库，而对于组织拥有的私有仓库，这一设置默认是禁用的。分支机构的保护措施，如必要的拉动请求审查或状态检查，将防止未经授权的提交在没有进一步审查或验证的情况下被合并。该漏洞影响了自2.4.21以来所有版本的GitHub企业服务器，并在2.20.24、2.21.15、2.22.7和3.0.1版本中被修复。该漏洞是通过GitHub Bug Bounty计划报告的。
CVE-2021-22862 在 GitHub 企业服务器中发现一个不恰当的访问控制漏洞，允许有能力分叉仓库的认证用户泄露分叉仓库的父仓库的行动秘密。该漏洞的存在是由于一个缺陷，该缺陷允许拉动请求的基本参考被更新以指向一个任意的SHA或分叉仓库之外的另一个拉动请求。通过在PR中建立这种不正确的引用，限制从分叉库发送工作流的行动秘密的限制就可以被绕过。该漏洞影响到GitHub企业服务器3.0.0、3.0.0.rc2和3.0.0.rc1版本。该漏洞通过GitHub Bug Bounty项目被报告。
CVE-2021-22863||在GitHub企业服务器GraphQL API中发现一个不当的访问控制漏洞，允许实例的认证用户在没有适当授权的情况下修改拉动请求的维护者协作权限。通过利用该漏洞，攻击者能够获得在其作为维护者的仓库上打开的拉动请求的头部分支的权限。对于组织拥有的私有仓库，默认情况下是禁用分叉的，这将防止这一漏洞的发生。此外，分支的保护措施，如必要的拉动请求审查或状态检查，可以防止未经授权的提交在没有进一步审查或验证的情况下被合并。该漏洞影响了自2.12.22以来所有版本的GitHub企业服务器，并在2.20.24、2.21.15、2.22.7和3.0.1版本中被修复。该漏洞是通过GitHub Bug Bounty计划报告的。
CVE-2021-22864||在GitHub企业服务器中发现一个远程代码执行漏洞，在建立GitHub Pages网站时可被利用。GitHub Pages 使用的用户控制的配置选项没有得到充分的限制，使其有可能覆盖环境变量，导致在 GitHub Enterprise Server 实例上执行代码。要利用这一漏洞，攻击者需要有在GitHub企业服务器实例上创建和建立GitHub Pages网站的权限。该漏洞影响到3.0.3之前的所有GitHub Enterprise Server版本，并在3.0.3、2.22.9和2.21.17中得到修复。该漏洞通过GitHub Bug Bounty项目被报告。
CVE-2021-22865||在GitHub企业服务器中发现了一个不恰当的访问控制漏洞，允许从GitHub应用程序的网络认证流程中生成的访问令牌在没有被授予适当权限的情况下通过REST API读取私有仓库元数据。要利用这个漏洞，攻击者需要在实例上创建一个GitHub应用程序，让用户通过网络认证流程授权该应用程序。返回的私有仓库元数据将被限制在令牌所识别的用户所拥有的仓库。该漏洞影响到3.0.4之前的所有GitHub企业服务器版本，并在3.0.4、2.22.10、2.21.18版本中被修复。该漏洞通过GitHub Bug Bounty项目被报告。
CVE-2021-22866在GitHub企业服务器中发现一个用户界面错误的漏洞，允许在GitHub应用程序的用户授权网络流程中授予更多的权限，而不是在审批时显示给用户。要利用这个漏洞，攻击者需要在实例上创建一个GitHub应用程序，并让用户通过网络认证流程授权该应用程序。在第一次授权时，所有被授予的权限都会正确显示，但在某些情况下，如果用户在GitHub应用配置了额外的用户级权限后重新访问授权流程，这些额外的权限可能不会被显示，从而导致授予的权限超过用户的潜在意图。该漏洞影响了GitHub企业服务器3.0.x（3.0.7之前）和2.22.x（2.22.13之前）。它在3.0.7和2.22.13版本中得到修复。该漏洞是通过GitHub Bug Bounty计划报告的。
CVE-2021-22867||在GitHub企业服务器中发现一个路径穿越漏洞，在建立GitHub Pages网站时可被利用。GitHub Pages 使用的用户控制配置选项没有得到充分的限制，使得读取 GitHub 企业服务器实例上的文件成为可能。要利用这个漏洞，攻击者需要有权限在GitHub企业服务器实例上创建和建立GitHub Pages网站。该漏洞影响到3.1.3之前的所有GitHub Enterprise Server版本，并在3.1.3、3.0.11和2.22.17中得到修复。该漏洞通过GitHub Bug Bounty项目被报告。
CVE-2021-22868||在GitHub企业服务器中发现一个路径遍历漏洞，在建立GitHub Pages网站时可被利用。GitHub Pages 使用的用户控制的配置选项没有得到充分的限制，使其有可能读取 GitHub Enterprise Server 实例上的文件。要利用这一漏洞，攻击者需要有权限在GitHub企业服务器实例上创建和建立GitHub Pages网站。该漏洞影响到3.1.8之前的所有GitHub Enterprise Server版本，并在3.1.8、3.0.16和2.22.22中得到修复。该漏洞是通过GitHub Bug Bounty计划报告的。这是对CVE-2021-22867不完全修复的结果。
CVE-2021-22869||GitHub Enterprise Server中一个不恰当的访问控制漏洞允许一个工作流作业在它不应该访问的自托管运行器组中执行。这影响了使用自我托管的运行器组进行访问控制的客户。由于在请求过程中不适当的认证检查，对一个企业运行者组有访问权的存储库可以访问组织内所有的企业运行者组。这可能导致代码在无意中被不正确的运行者组运行。该漏洞影响了 3.0.0 至 3.0.15 以及 3.1.0 至 3.1.7 的 GitHub 企业服务器版本，并在 3.0.16 和 3.1.8 版本中得到修复。
CVE-2021-2287||Oracle Virtualization的Oracle VM VirtualBox产品（组件：Core）存在漏洞。受影响的支持版本为6.1.20之前。容易被利用的漏洞允许未经认证的攻击者登录到执行Oracle VM VirtualBox的基础设施，从而破坏Oracle VM VirtualBox。虽然该漏洞是在Oracle VM VirtualBox中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对关键数据的未授权访问或对所有Oracle VM VirtualBox可访问数据的完全访问。CVSS 3.1基础得分7.1（保密性影响）。CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N) 。
CVE-2021-22870||在GitHub Enterprise Server上构建的GitHub Pages中发现了一个路径遍历漏洞，可能允许攻击者读取系统文件。要利用此漏洞，攻击者需要有权限在 GitHub Enterprise Server 实例上创建和构建 GitHub Pages 网站。该漏洞影响到3.3之前的所有GitHub Enterprise Server版本，并在3.0.19、3.1.11和3.2.3版本中被修复。该漏洞通过GitHub Bug Bounty项目被报告。
CVE-2021-22871||Revive Adserver在5.1.0之前允许任何拥有经理账户的用户在URL网站属性中存储可能的恶意内容，然后在affiliate-preview.php标签生成屏幕中显示未净化的内容，导致持续的跨站脚本（XSS）漏洞。
CVE-2021-22872||Revive Adserver在5.1.0之前存在通过公开访问的afr.php交付脚本反映的跨网站脚本（XSS）漏洞。虽然这个问题之前已经在现代浏览器中作为CVE-2020-8115得到解决，但一些不自动对参数进行URL编码的旧版浏览器（如IE10）仍有漏洞。
