CVE-2019-19220||BMC Control-M/Agent 7.0.00.000允许操作系统命令注入（问题2）。
CVE-2019-19411||USG9500的V500R001C30SPC100、V500R001C30SPC200、V500R001C30SPC600、V500R001C60SPC500、V500R005C00SPC100、V500R005C00SPC200版本存在信息泄露漏洞。由于对特定加密算法中使用的初始化向量处理不当，获得该加密基元的攻击者可能利用该漏洞导致与其使用相关的保密性价值降低。
CVE-2019-194||华为智能手机有一个出厂重置保护（FRP）绕过安全漏洞。当使用出厂重置保护（FRP）功能重新配置手机时，攻击者登录对讲机模式，可以执行一些操作来安装第三方应用程序。受影响的产品可以在https://www.huawei.com/en/psirt/security-advisories/huawei-sa-20200115-01-frp-en。
CVE-2019-19413||部分华为产品的LDAP客户端存在整数溢出漏洞。由于输入验证不足，远程攻击者可以通过向目标设备发送畸形的数据包来利用这一漏洞。成功利用可能会导致受影响的系统崩溃。
CVE-2019-19414||在一些华为产品的LDAP服务器中存在整数溢出漏洞。由于输入验证不足，远程攻击者可以通过向目标设备发送畸形的数据包来利用这一漏洞。成功利用后可能导致受影响系统崩溃。
CVE-2019-19415||部分华为产品的SIP模块存在拒绝服务（DoS）漏洞。远程攻击者可以通过向受影响的设备发送特制的消息来利用这三个漏洞。由于对数据包的验证不足，成功利用后，攻击者可以造成缓冲区溢出和死循环，导致DoS条件。受影响的产品可以在https://www.huawei.com/en/psirt/security-advisories/huawei-sa-20200115-01-sip-en。
CVE-2019-19416||部分华为产品的SIP模块存在拒绝服务（DoS）漏洞。远程攻击者可以通过向受影响的设备发送特制的消息来利用这三个漏洞。由于对数据包的验证不足，成功利用后，攻击者可以造成缓冲区溢出和死循环，导致DoS条件。受影响的产品可以在https://www.huawei.com/en/psirt/security-advisories/huawei-sa-20200115-01-sip-en。
CVE-2019-19417||部分华为产品的SIP模块存在拒绝服务（DoS）漏洞。远程攻击者可以通过向受影响的设备发送特制的消息来利用这三个漏洞。由于对数据包的验证不足，成功利用后，攻击者可以造成缓冲区溢出和死循环，导致DoS条件。受影响的产品可以在https://www.huawei.com/en/psirt/security-advisories/huawei-sa-20200115-01-sip-en。
CVE-2019-1942||思科身份服务引擎（ISE）的赞助商门户网络界面存在的漏洞，可能允许经过验证的远程攻击者通过执行任意SQL查询来影响受影响系统的完整性。该漏洞是由于对用户提供的输入信息验证不足造成的。攻击者可以通过向受影响的系统发送包括SQL语句的精心制作的输入，来利用这一漏洞。成功利用该漏洞后，攻击者可以修改一些数据库表中的条目，影响数据的完整性。在发布之时，该漏洞影响了运行2.6.0及之前版本软件的思科ISE。
CVE-2019-1943||Cisco Small Business 200、300和500系列交换机软件的网络界面存在漏洞，可能允许未经认证的远程攻击者将用户重定向到恶意网页。该漏洞是由于HTTP请求参数的输入验证不当造成的。攻击者可以通过拦截用户的HTTP请求并将其修改为导致Web界面将用户重定向到一个特定的恶意URL的请求来利用该漏洞。这种类型的漏洞被称为开放性重定向攻击，被用于钓鱼式攻击，使用户在不知情的情况下访问恶意网站。
CVE-2019-1944||思科自适应安全设备（ASA）的智能隧道功能中存在多个漏洞，可能允许经过验证的本地攻击者在隧道建立时将权限提升至根用户或加载恶意库文件。有关这些漏洞的更多信息，请参阅本安全公告的细节部分。
CVE-2019-19441||版本早于10.0.0.166(C00E66R1P11)的华为P30智能手机存在信息泄露漏洞。攻击者可在局域网内发送特定命令，利用该漏洞。成功利用可能导致信息泄露。
CVE-2019-19447|||在Linux内核5.0.21中，挂载一个精心制作的ext4文件系统镜像，执行一些操作，并卸载，可导致fs/ext4/super.c中的ext4_put_super出现使用后释放，与fs/ext4/super.c中的dump_orphan_list有关。
CVE-2019-19448||在Linux内核5.0.21和5.3.11中，挂载一个精心制作的btrfs文件系统镜像，执行一些操作，然后进行syncfs系统调用，会导致fs/btrfs/free-space-c中的try_merge_free_space出现使用后释放，因为左侧数据结构的指针可能与右侧数据结构的指针相同。
CVE-2019-19449||在Linux内核5.0.21中，挂载一个经过精心设计的f2fs文件系统镜像，可能导致fs/f2fs/segment.c中的f2fs_build_segment_manager中的板块越界读访问，与fs/f2fs/segment.c中的init_min_max_mtime有关（因为get_seg_entry的第二个参数未被验证）。
CVE-2019-1945||思科自适应安全设备（ASA）的智能隧道功能中存在多个漏洞，可能允许经过验证的本地攻击者在建立隧道时将权限提升至根用户或加载恶意库文件。有关这些漏洞的更多信息，请参阅本安全公告的细节部分。
CVE-2019-19451||当2019-11-27之前的GNOME Dia在启动时，如果文件名参数不是当前编码中的有效代码点，则会进入一个无尽的循环，从而无休止地将文本写入stdout。如果这个启动是来自缩略图服务，这个输出通常会通过系统的日志设施写入磁盘（可能有高权限），从而填满磁盘，最终导致系统无法使用。(文件名可能是一个不存在的文件。) 注意：这不影响上游版本，但影响到某些版本号为0.97.3的Linux发行包。
CVE-2019-19452||在Patriot Viper RGB至1.1中，在处理IoControlCode 0x80102040时发现缓冲区溢出。本地攻击者（包括低完整性进程）可以利用这一点获得NT AUTHORITY/SYSTEM的权限。
CVE-2019-19453||Wowza Streaming Engine 4.8.5之前允许XSS（问题1 of 2）。具有代理许可编辑权限的认证用户能够插入恶意的有效载荷，在服务器设置的主页面上触发。该问题已在Wowza Streaming Engine 4.8.5中得到解决。
CVE-2019-19454||在Wowza Streaming Engine <= 4.x.x的 "下载日志 "功能中发现了一个任意文件下载。
CVE-2019-19455||4.8.5之前的Wowza Streaming Engine具有不安全的权限，这可能允许本地攻击者通过在任何文件中编写任意命令，升级服务器的Linux版本中/usr / local / WowzaStreamingEngine / manager / bin /的权限，并以root身份执行。这个问题在Wowza Streaming Engine 4.8.5中得到解决。
CVE-2019-19456||在Wowza Streaming Engine <= 4.x.x的登录页面内的服务器选择框中发现了反射式XSS，地址为：enginemanager/loginfailed.html，该问题已在Wowza Streaming Engine 4.8.0中解决。
CVE-2019-19457||SALTO ProAccess SPACE 5.4.3.0允许XSS。
CVE-2019-19458||SALTO ProAccess SPACE 5.4.3.0允许在数据导出功能中进行目录穿越。
CVE-2019-19459||SALTO ProAccess SPACE 5.4.3.0中发现一个问题。攻击者可以向任意文件写入任意内容，如CVE-2019-19458网站根下的文件，或将用于自动启动的.bat文件。这允许攻击者在服务器上执行任意命令。
CVE-2019-1946||思科企业NFV基础设施软件（NFVIS）基于网络的管理界面存在漏洞，可能允许未经认证的远程攻击者绕过认证并获得对基于网络的管理界面的有限访问。该漏洞是由于基于网络的管理界面中的认证实现不正确。攻击者可以通过向受影响系统上的基于网络的管理界面发送伪造的认证请求来利用这一漏洞。成功利用后，攻击者可以查看有限的配置细节，并有可能上传虚拟机图像。
CVE-2019-19460||在SALTO ProAccess SPACE 5.4.3.0中发现一个问题。该产品的网络服务器作为Windows服务运行，默认具有本地SYSTEM权限。这违反了最小权限原则。能够利用CVE-2019-19458或CVE-2019-19459的攻击者基本上能够写到文件系统上的每一个路径，因为网络服务器是以最高权限运行的。
CVE-2019-19461||Team Password Manager中的Post-authentication Stored XSS通过7.93.204允许攻击者通过创建一个以HTML代码为标题的共享密码来窃取其他用户的凭证。
CVE-2019-19462||Linux内核中kernel/relay.c中的relay_open到5.4.1允许本地用户通过触发NULL alloc_percpu结果而导致拒绝服务（如中继阻塞）。
CVE-2019-19463||安卓版4.0.11之前的安徽华米Mi Fit应用存在未加密的更新检查。
CVE-2019-19464||安卓版9.24.1之前和iOS版9.26.0之前的CBC Gem应用有未加密分析。
CVE-2019-19466||SCEditor 2.1.3允许XSS。
CVE-2019-19468||Free Photo Viewer 1.3允许远程攻击者通过精心制作的BMP和/或TIFF文件执行任意代码，该文件触发了一个畸形的SEH，如0012ECB4 FreePhot.00425642 42200008损坏的条目所证明。
CVE-2019-19469||在Zmanda管理控制台3.3.9中，ZMC_Admin_Advanced?form=adminTasks&action=Apply&command=允许CSRF，通过使用shell元字符的命令注入来证明。这可能取决于薄弱的默认凭证。
CVE-2019-1947||Cisco AsyncOS Software for Cisco Email Security Appliance (ESA)的电子邮件信息过滤功能存在漏洞，可能允许未经认证的远程攻击者导致CPU利用率提高到100%，在受影响的设备上造成拒绝服务（DoS）情况。该漏洞是由于对包含大型附件的电子邮件处理不当造成的。攻击者可以通过目标设备发送恶意的电子邮件信息来利用这个漏洞。成功利用后，攻击者可因CPU利用率高而造成永久性DoS状态。这个漏洞可能需要人工干预来恢复ESA。
CVE-2019-19470||在Named Pipe消息处理中不安全地使用.NET反序列化，允许本地攻击者的权限升级到NT AUTHORITY/SYSTEM。受影响的产品是TinyWall，包括2.1.12以下的所有版本。在2.1.13版本中得到修复。
CVE-2019-19475|||在ManageEngine Applications Manager 14 with Build 14360中发现一个问题。由于缺乏文件权限安全，应用管理器中内置的集成PostgreSQL很容易受到攻击。处于 "认证用户 "组的恶意用户可以利用特权升级和修改PostgreSQL配置来执行任意命令，以升级并获得全系统特权用户访问和对系统的权利。
CVE-2019-19479||在OpenSC的0.19.0和0.20.x至0.20.0-rc3中发现一个问题。libopensc/card-setcos.c在解析SETCOS文件属性时有不正确的读取操作。
CVE-2019-1948||Cisco Webex Meetings Mobile (iOS)中的一个漏洞可能允许未经认证的远程攻击者通过使用无效的安全套接字层（SSL）证书获得对敏感数据的未经授权的读取访问。该漏洞是由于受影响的软件对SSL证书的验证不足造成的。攻击者可通过向受影响设备提供伪造的SSL证书来利用这一漏洞。成功利用后，攻击者可以进行中间人攻击，解密用户连接到受影响软件上的机密信息。
CVE-2019-19480||在OpenSC的0.19.0和0.20.x至0.20.0-rc3中发现一个问题。 libopensc/pkcs15-prkey.c在sc_pkcs15_decode_prkdf_entry中有一个不正确的自由操作。
CVE-2019-19481||在OpenSC的0.19.0和0.20.x至0.20.0-rc3中发现一个问题。 libopensc/card-cac1.c错误处理了CAC证书的缓冲区限制。
CVE-2019-19484||Centreon(19.04.4及以下版本)login.php中通过参数'p'打开重定向，允许攻击者制作有效载荷并执行非预期的行为。
CVE-2019-19486||Centreon (19.04.4及以下版本)中minPlayCommand.php的本地文件包含允许攻击者通过插件测试穿越路径。
CVE-2019-19487||Centreon (19.04.4及以下版本)中minPlayCommand.php的命令注入，允许攻击者通过插件测试实现命令注入。
CVE-2019-19489||SMPlayer 19.5.0有一个通过长的.m3u文件的缓冲区溢出。
CVE-2019-1949||Cisco Firepower Management Center基于网络的管理界面存在的漏洞，可能会允许经过验证的远程攻击者对受影响系统基于网络的管理界面的用户进行跨站脚本（XSS）攻击。该漏洞是由于受影响系统的基于网络的管理界面对用户提供的输入没有进行充分的验证。攻击者可以通过说服界面的用户点击一个恶意链接来利用这个漏洞。成功利用后，攻击者可以在受影响界面的上下文中执行任意脚本代码，或访问敏感的、基于浏览器的信息。
CVE-2019-19490||LiteManager 4.5.0在 "LiteManagerFree - Server "文件夹中具有较弱的权限（Everyone: Full Control），ROMFUSClient.exe显示了这一点。
CVE-2019-19491||TestLink 1.9.19存在通过lib/testcases/archiveData.php编辑参数、index.php reqURI参数或lib/testcases/tcEdit.php?doAction=doDeleteStep请求中的URI的XSS。
CVE-2019-19492||FreeSWITCH 1.6.10 至 1.10.1 在 event_socket.conf.xml 中有一个默认密码。
CVE-2019-19493||12.0.50之前的Kentico允许文件上传，其中Content-Type标头与文件扩展名不一致，导致XSS。
CVE-2019-19494||多个供应商的基于Broadcom的电缆调制解调器存在缓冲区溢出的问题，这使得远程攻击者可以通过受害者浏览器中运行的JavaScript在内核级别执行任意代码。受影响的产品包括Sagemcom F@st 3890（50.10.21_T4之前）、Sagemcom F@st 3890（05.76.6.3f之前）、Sagemcom F@st 3686 3.428.0、Sagemcom F@st 3686 4.83.0、NETGEAR CG3700EMR 2.01.05、NETGEAR CG3700EMR 2.01.03、NETGEAR C6250EMR 2.01.05、NETGEAR C6250EMR 2.01.03、Technicolor TC7230 STEB 01.25、COMPAL 7284E 5.510.5.11 和 COMPAL 7486E 5.510.5.11。
CVE-2019-19495||Technicolor TC7230 STEB 01.25上的网页界面存在DNS重新绑定的漏洞，这使得远程攻击者可以通过受害者浏览器中的JavaScript配置电缆调制解调器。然后，攻击者可以配置电缆调制解调器，以端口转发调制解调器的内部TELNET服务器，允许外部访问一个根外壳。
CVE-2019-19496||Alfresco Enterprise 5.2.5之前允许通过上传的HTML文档存储XSS。
CVE-2019-19497||MDaemon Email Server 17.5.1允许通过电子邮件附件的文件名进行XSS。
CVE-2019-19499||Grafana <= 6.4.3有一个任意读取文件的漏洞，有权限修改数据源配置的认证攻击者可以利用这个漏洞。
CVE-2019-1950||Cisco IOS XE SD-WAN软件中的一个漏洞可能允许未经认证的本地攻击者获得对受影响设备的未授权访问。该漏洞是由于受影响设备的默认配置中存在默认凭证。能够访问受影响设备的攻击者可以用更高的权限登录。成功利用该漏洞后，攻击者可以完全控制该设备。该漏洞影响运行Cisco IOS XE SD-WAN软件16.11及以前版本的思科设备。
CVE-2019-19500||Matrix42 Workspace Management 9.1.2.2765及以下版本允许通过未经过滤的描述参数存储XSS，如个别软件的特殊订单的注释字段所显示。
CVE-2019-19501||VeraCrypt 1.24允许在执行VeraCryptExpander.exe时进行本地权限升级。
CVE-2019-19502||CKEditor 4.1.9之前的Image Uploader和Browser的pluginconfig.php中的代码注入允许远程认证的用户执行任意PHP代码。
CVE-2019-19505||Tenda PA6 Wi-Fi Powerline extender 1.0.1.21存在基于堆栈的缓冲区溢出问题，由web-UI中的 "无线 "部分不适当的边界检查引起。通过发送特制的主机名，远程攻击者可以溢出缓冲区，在系统上执行任意代码或导致应用程序崩溃。
CVE-2019-19506||Tenda PA6 Wi-Fi Powerline extender 1.0.1.21存在拒绝服务的风险，由 "homeplugd "进程中的错误引起。通过发送特制的UDP数据包，攻击者可以利用这一漏洞导致设备重新启动。
CVE-2019-19507||在2.1.1之前的jpv（又名Json Pattern Validator）中，compareCommon()可以被绕过，因为某些内部属性可以通过冲突的名称被覆盖，如'constructor'所显示。{'name':'Array'}。这影响了validate()。因此，精心制作的有效载荷可以覆盖这个内置属性，以操纵类型检测结果。
CVE-2019-19509||在rConfig 3.9.3中发现一个问题。远程认证用户可以通过向ajaxArchiveFiles.php发送GET请求直接执行系统命令，因为路径参数被传递给exec函数而没有过滤，这可能导致命令执行。
CVE-2019-1951||思科SD-WAN解决方案的数据包过滤功能存在漏洞，可能允许未经认证的远程攻击者绕过L3和L4流量过滤器。该漏洞是由于受影响设备上不适当的流量过滤条件造成的。攻击者可以通过制作具有特定特征的恶意TCP数据包并将其发送到目标设备来利用这一漏洞。成功利用后，攻击者可以绕过L3和L4流量过滤器，在网络中注入一个任意数据包。
CVE-2019-19513||Windows上Un4seen BASS音频库的BASSMIDI插件2.4.12.1容易出现越界写入漏洞。攻击者可利用此漏洞在目标机上执行代码。利用失败会导致拒绝服务。
CVE-2019-19514||Ayision Ays-WR01 v28K.RPT.20161224设备允许通过SSID在基本中继器设置中存储XSS。
CVE-2019-19515||Ayision Ays-WR01 v28K.RPT.20161224设备允许在无线设置中存储XSS。
CVE-2019-19516||Intelbras WRN 150 1.0.18设备允许通过GO=system_password.asp到goform/SysToolChangePwd URI来改变密码的CSRF。
CVE-2019-19517||Intelbras RF1200 1.1.3设备允许CSRF绕过login.html表单，通过启动scrapy进程展示。
CVE-2019-19518||CA Automic Sysload 5.6.0至6.1.2包含一个漏洞，与文件服务器端口缺乏认证有关，可能允许远程攻击者执行任意命令。
CVE-2019-19519|||在OpenBSD 6.6中，本地用户可以使用su -L选项实现任何登录类（通常不包括root），因为su/su.c中的主函数存在逻辑错误。
CVE-2019-1952||思科企业NFV基础设施软件（NFVIS）CLI中的一个漏洞可能允许经过验证的本地攻击者覆盖或读取任意文件。攻击者需要有效的管理员权限级凭证。该漏洞是由于CLI命令参数的输入验证不当造成的。攻击者在执行有漏洞的命令时，可以通过使用目录遍历技术来利用这一漏洞。成功利用后，攻击者可以在受影响设备上覆盖或读取任意文件。
CVE-2019-19520||OpenBSD 6.6中的xlock允许本地用户通过提供LIBGL_DRIVERS_PATH环境变量获得auth组的权限，因为xenocara/lib/mesa/src/loader/loader.c错误处理dlopen。
OpenBSD 6.6中的CVE-2019-19521||libc允许通过smtpd、ldapd或radiusd展示的-challenge用户名进行认证绕过。这与libc中的gen/auth_subr.c和gen/authenticate.c（以及login/login.c和xenocara/app/xenodm/greeter/verify.c）有关。
CVE-2019-19522||OpenBSD 6.6，在启用S/Key或YubiKey认证的非默认配置中，允许本地用户通过利用auth组的成员身份成为root。这是因为root的文件可以写入/etc/skey或/var/db/yubikey，而不需要由root拥有。
CVE-2019-19523||在5.3.7之前的Linux内核中，drivers/usb/misc/adutux.c驱动中存在一个可由恶意USB设备引起的使用后的错误，又称CID-44efc269db79。
CVE-2019-19524||在5.3.12之前的Linux内核中，drivers/input/ff-memless.c驱动中存在一个可由恶意USB设备引起的使用后的错误，又称CID-fa3a5a1880c9。
CVE-2019-19525||在5.3.6之前的Linux内核中，drivers/net/ieee802154/atusb.c驱动中存在一个可由恶意USB设备引起的使用后释放漏洞，又称CID-7fd25e6fc035。
CVE-2019-19526||在5.3.9之前的Linux内核中，drivers/nfc/pn533/usb.c驱动中存在一个可由恶意USB设备引起的use-after-free错误，又称CID-6af3aa57a098。
CVE-2019-19527||在5.2.10之前的Linux内核中，drivers/hid/usbhid/hiddev.c驱动中存在一个可由恶意USB设备引起的使用后释放错误，又称CID-9c09b214f30e。
CVE-2019-19528||在5.3.7之前的Linux内核中，drivers/usb/misc/iowarrior.c驱动中存在一个可由恶意USB设备引起的使用后的错误，又称CID-edc4746f253d。
CVE-2019-19529||在5.3.11之前的Linux内核中，drivers/net/can/usb/mcba_usb.c驱动中存在一个可由恶意USB设备引起的使用后错误，又称CID-4d6636498c41。
CVE-2019-1953||思科企业NFV基础架构软件（NFVIS）的网络门户存在漏洞，可允许经过验证的远程攻击者查看密码的明文。该漏洞是由于在用户首次登录网络门户时被迫修改默认密码时错误地记录了管理密码。随后的密码修改没有被记录，其他账户不受影响。攻击者可以通过查看管理员的明文密码并使用它来访问受影响的系统来利用这个漏洞。攻击者需要一个有效的用户账户来利用这个漏洞。
CVE-2019-19530||在5.2.10之前的Linux内核中，drivers/usb/class/cdc-acm.c驱动中存在一个可由恶意USB设备引起的 "使用后自由 "错误，又称CID-c52873e5a1ef。
CVE-2019-19531||在5.2.9之前的Linux内核中，drivers/usb/misc/yurex.c驱动中存在一个可由恶意USB设备引起的使用后的错误，又称CID-fc05481b2fca。
CVE-2019-19532||在5.3.9之前的Linux内核中，存在多个越界写入错误，可由Linux内核HID驱动程序中的恶意USB设备引起，又称CID-d9d4b1e46d95。这影响了drivers/hid/hid-axff.c, drivers/hid/hid-dr.c, drivers/hid/hid-emsff.c, drivers/hid/hid-gaff.c, drivers/hid/hid-holtekff.c, drivers/hid/hid-lg2ff.c, drivers/hid/hid-lg3ff.c, drivers/hid/hid-lg4ff.c, drivers/hid/hid-lgff.c, drivers/hid/hid-logitech-hidpp.c, drivers/hid/hid-microsoft.c, drivers/hid/hid-sony.c, drivers/hid/hid-tmff.c, and drivers/hid/hid-zpff.c。
CVE-2019-19533||在5.3.4之前的Linux内核中，drivers/media/usb/ttusb-dec/ttusb_dec.c驱动中存在一个可由恶意USB设备导致的信息泄露漏洞，又称CID-a10feaf8c464。
CVE-2019-19534||在5.3.11之前的Linux内核中，drivers/net/can/usb/peak_usb/pcan_usb_core.c驱动中存在一个可由恶意USB设备引起的信息泄露漏洞，又称CID-f7a1337f0d29。
CVE-2019-19535||在5.2.9之前的Linux内核中，drivers/net/can/usb/peak_usb/pcan_usb_fd.c驱动中存在一个可由恶意USB设备引起的信息泄露漏洞，又称CID-30a8beeb3042。
CVE-2019-19536||在5.2.9之前的Linux内核中，drivers/net/can/usb/peak_usb/pcan_usb_pro.c驱动中存在一个可由恶意USB设备引起的信息泄露漏洞，又称CID-ead16e53c2f0。
CVE-2019-19537||在5.2.10之前的Linux内核中，USB字符设备驱动层中存在一个可由恶意USB设备引起的竞赛条件错误，又名CID-303911cfc5b9。这影响到drivers/usb/core/file.c。
CVE-2019-19538||在Sangoma FreePBX 13到15和sysadmin（又名系统管理）13.0.92到15.0.13.6模块存在远程命令执行漏洞，导致权限提升。
CVE-2019-19539||在Idelji Web ViewPoint H01ABO-H01BY和L01ABP-L01ABZ、Web ViewPoint Plus H01AAG-H01AAQ和L01AAH-L01AAR以及Web ViewPoint Enterprise H01-H01AAE和L01-L01AAF中发现一个问题。通过读取安装子卷内的ADB或AADB文件内容，Guardian用户可以发现从WVP事件屏幕上确认事件的组.用户或别名的密码。
CVE-2019-1954||思科Webex会议服务器软件的基于网络的管理界面存在漏洞，可能允许未经认证的远程攻击者将用户重定向到不想要的网页。该漏洞是由于对发送到受影响设备的HTTP请求中的URL参数进行了不当的输入验证。攻击者可以通过制作一个HTTP请求，使网络应用程序将请求重定向到一个指定的恶意URL，从而利用这一漏洞。成功利用后，攻击者可以将用户重定向到恶意网站。
CVE-2019-19540||WordPress的ListingPro主题在v2.0.14.2之前，通过主页上的What字段反射了XSS。
CVE-2019-19541||WordPress的ListingPro主题在v2.0.14.2版之前，通过新列表提交页面的最佳日/夜字段存在持久性XSS。
CVE-2019-19542||WordPress的ListingPro主题在v2.0.14.2版之前，通过新房源提交页面上的Good For字段存在持久性XSS。
CVE-2019-19543||在5.1.6之前的Linux内核中，drivers/media/rc/serial_ir.c中的serial_ir_init_module()存在释放后使用的问题。
CVE-2019-19544||CA Automic Dollar Universe 5.3.3 包含一个漏洞，与 uxdqmsrv 二进制文件被 setuid root 有关，允许本地攻击者提升权限。该漏洞在CA Automic Dollar Universe 5.3.3于2015年4月1日达到生命终结（EOL）状态后几年被报告给CA。
CVE-2019-19545||诺顿密码管理器，在6.6.2.5之前，可能容易受到跨源资源共享（CORS）漏洞的影响，这是一种允许网页上的受限资源从第一个资源提供的域之外的另一个域请求的问题。
CVE-2019-19546||6.6.2.5之前的诺顿密码管理器可能会受到信息泄露问题的影响，这是一种类型的漏洞，即无意中向未明确授权访问该信息的行为者泄露信息。
CVE-2019-19547||赛门铁克端点检测和响应（SEDR），在4.3.0之前，可能容易受到跨网站脚本（XSS）问题的影响。XSS是一种类型的问题，可使攻击者将客户端脚本注入其他用户查看的网页中。攻击者可以利用XSS漏洞来绕过访问控制，如同源策略。
CVE-2019-19548||Norton Power Eraser，在5.3.0.67之前，可能会受到特权升级漏洞的影响，这是一种类型的问题，攻击者可能试图破坏软件应用程序，以获得对通常受保护的应用程序或用户的资源的高级访问。
CVE-2019-1955||Cisco AsyncOS Software for Cisco Email Security Appliances (ESA)的Sender Policy Framework (SPF)功能存在漏洞，可能允许未经认证的远程攻击者绕过设备上配置的用户过滤器。该漏洞是由于发送至受影响设备的某些SPF信息的输入和验证检查机制不完整造成的。攻击者可以通过向受影响设备发送定制的SPF数据包来利用这一漏洞。成功利用该漏洞可使攻击者绕过为受影响设备配置的标题过滤器，从而使恶意内容通过该设备。
CVE-2019-19550||高级Rubiweb 6.2.34.28和6.2.34.37中的远程认证绕过允许管理员访问使用脆弱版本的受影响用户的敏感信息。攻击者只需要提供正确的URL。
CVE-2019-19551||在Sangoma FreePBX的userman 13.0.76.43至15.0.20中，管理员网站的用户管理屏幕存在XSS。有权限访问用户控制面板应用程序的攻击者可以在一些时间/日期格式和时区字段中提交恶意的值。这些字段没有得到适当的净化。如果这样做，用户（如管理员）访问用户管理屏幕并查看该用户的个人资料，XSS有效载荷将呈现并在受害用户的账户中执行。
CVE-2019-19552||在Sangoma FreePBX的userman 13.0.76.43到15.0.20，XSS存在于管理员网站的用户管理界面，即/admin/config.php?display=userman URI。拥有足够权限的攻击者可以编辑用户的显示名称并嵌入恶意的XSS代码。当其他用户（如管理员）访问用户管理主屏幕时，XSS有效载荷将呈现并在受害用户的账户背景下执行。
CVE-2019-19553||在Wireshark 3.0.0至3.0.6和2.6.0至2.6.12中，CMS剖析器可能崩溃。这一点在epan/dissectors/asn1/cms/packet-cms-template.c中通过确保在ContentInfo剖析后将对象标识符设置为NULL来解决。
CVE-2019-19555||Xfig fig2dev 3.2.7b中read.c的read_textobject由于不正确的scanf，存在基于堆栈的缓冲区溢出。
CVE-2019-19556||Mercedes-Benz HERMES 1中调试接口的认证绕过允许对设备硬件有物理访问的攻击者获得系统信息。
CVE-2019-19557||梅赛德斯-奔驰HERMES 1中调试接口的错误配置允许直接物理访问设备硬件的攻击者获得蜂窝调制解调器信息。
CVE-2019-1956||思科SPA112 2端口电话适配器基于网络的界面存在漏洞，可能会允许经过验证的远程攻击者对该设备的其他用户进行跨站脚本（XSS）攻击。该漏洞是由于受影响设备的基于网络的界面对用户提供的输入没有进行充分验证。攻击者可以通过在其中一个配置字段插入恶意代码来利用这一漏洞。成功利用后，攻击者可以在受影响界面的上下文中执行任意脚本代码，或访问敏感的、基于浏览器的信息。
CVE-2019-19560||梅赛德斯-奔驰HERMES 1.5中调试界面的认证绕过允许对设备硬件进行物理访问的攻击者获得系统信息。
CVE-2019-19561||梅赛德斯-奔驰HERMES 1.5中调试界面的错误配置允许直接物理访问设备硬件的攻击者获得蜂窝调制解调器信息。
CVE-2019-19562||梅赛德斯-奔驰HERMES 2.1中调试界面中的认证绕过允许物理访问设备硬件的攻击者获得系统信息。
CVE-2019-19563||梅赛德斯-奔驰HERMES 2.1中调试接口中的错误配置允许直接物理访问设备硬件的攻击者获得蜂窝调制解调器信息。
CVE-2019-1957||Cisco IoT Field Network Director网络界面中的一个漏洞可能允许未经认证的远程攻击者触发高CPU使用率，导致受影响设备上出现拒绝服务（DoS）情况。该漏洞是由于对传输层安全（TLS）重新协商请求处理不当造成的。攻击者可以通过高速发送重新协商请求来利用这一漏洞。成功的利用可以增加系统的资源使用，最终导致DoS条件。
CVE-2019-19576||verot.net class.upload.php在1.0.3之前和2.x在2.0.4之前，用于Joomla！和其他产品的K2扩展中，从危险文件扩展集中省略.phar。
CVE-2019-19577||在Xen到4.12.x中发现一个问题，允许x86 AMD HVM客户操作系统用户在pagetable-height更新期间通过触发数据结构访问导致拒绝服务或可能获得特权。当在带有IOMMU的AMD系统上运行时，Xen试图根据客户的地址空间大小，动态调整IOMMU中的页表层数（页表高度）。选择和更新高度的代码有几个错误。值得注意的是，更新时没有加锁，而加锁是安全操作的必要条件。恶意的客户管理员可以使Xen在修改数据结构时访问它们，导致Xen崩溃。特权升级被认为是非常困难的，但不能排除这种可能性。此外，在内存压力下，每个客户启动时可能会有4kb的内存泄漏。只有运行在AMD CPU上的Xen有漏洞。在英特尔CPU上运行的Xen没有漏洞。ARM系统不存在漏洞。只有客体被赋予直接访问物理设备的系统才有漏洞。不使用PCI直通的系统不存在漏洞。只有 HVM 访客可以利用该漏洞。PV 和 PVH 访客不能。所有支持IOMMU的Xen版本都有漏洞。
