CVE-2018-21098||NETGEAR R7800设备在1.0.2.60之前受认证用户的命令注入影响。
CVE-2018-2479||SAP BusinessObjects商业智能平台（BIWorkspace）4.1和4.2版本没有对用户控制的输入进行充分编码，导致跨站脚本（XSS）漏洞。
CVE-2018-2481|||在一些SAP标准角色中，在SAP_ABA版本、7.00至7.02、7.10至7.11、7.30、7.31、7.40、7.50、75C至75D中，使用了一个为客户保留的交易代码。通过实施这样的交易代码，恶意用户可以执行未经授权的交易功能。
CVE-2018-2482||SAP Mobile Secure Android Application, Mobile-secure.apk Android客户端，在6.60.19942.0版本之前，允许攻击者通过崩溃或淹没服务来阻止合法用户访问服务。安装2018年10月中旬发布的Mobile Secure Android客户端。
CVE-2018-2483||HTTP动词篡改在SAP BusinessObjects商业智能平台4.1和4.2版本中，中央管理控制台（CMC）可能通过改变请求方法。
CVE-2018-2484||SAP Enterprise Financial Services（在SAPSCORE 1.13, 1.14, 1.15; S4CORE 1.01, 1.02, 1.03; EA-FINSERV 1.10, 2.0, 5.0, 6.0, 6.03, 6.04, 6.05, 6.06, 6.16, 6.17, 6.18, 8.0; Bank/CFM 4.63_20) 没有对认证用户进行必要的授权检查，导致权限升级。
CVE-2018-2485||恶意应用程序或恶意软件有可能在SAP Fiori应用程序中执行JavaScript。这可能包括读取和写入信息，以及在应用程序中调用设备特定的JavaScript API。Google Play商店的SAP Fiori客户端1.11.5版本解决了这些问题，用户必须更新到该版本。
CVE-2018-2486||SAP Marketing（UICUAN（1.20，1.30，1.40），SAPSCORE（1.13，1.14））没有对用户控制的输入进行充分的编码，导致跨站脚本（XSS）漏洞。
CVE-2018-2487||SAP Disclosure Management 10.x允许攻击者通过用户提供的特制的压缩文件进行利用。在特定的使用情况下提取时，该压缩文件内的文件可能会降落在与原定提取点不同的位置。
CVE-2018-2488||安装在安卓设备上的恶意软件有可能向SAP Fiori Client发送带有空消息的本地推送通知，并导致应用程序崩溃。Google Play商店的SAP Fiori Client 1.11.5版本解决了这些问题，用户必须更新到该版本。
CVE-2018-2489||本地，在没有任何权限的情况下，任意的安卓应用可以删除SAP Fiori Client的SSO配置。Google Play商店的SAP Fiori Client 1.11.5版本解决了这些问题，用户必须更新到该版本。
CVE-2018-2490||由SAP Fiori Client接收的广播信息不受权限保护。Google Play商店中的SAP Fiori Client 1.11.5版本解决了这些问题，用户必须更新到该版本。
CVE-2018-2491|||当在SAP Fiori Client中打开一个深层链接的URL，且日志级别设置为 "调试 "时，客户端应用程序将该URL记录到日志文件中。如果该URL包含恶意的JavaScript代码，在用户打开查看器并点击查看器中的超链接时，它最终可以在应用程序的内置日志查看器中运行。Google Play商店的SAP Fiori Client 1.11.5版本解决了这些问题，用户必须更新到该版本。
CVE-2018-2492||SAP NetWeaver AS Java中的SAML 2.0功能，没有充分验证从不可信任的来源接收的XML文档。这在7.2、7.30、7.31、7.40和7.50版本中得到修复。
CVE-2018-2494||在SAP NetWeaver 700至750的SAP Basis AS ABAP中修复了对已验证用户的必要授权检查，导致权限升级，从750开始作为ABAP平台交付。
CVE-2018-2497||SAP HANA（1.0和2.0版本）的安全审计日志不会记录SELECT事件，如果这些事件是具有CREATE TABLE <table_name> AS SELECT语法的语句的一部分。
CVE-2018-2499|||SAP Financial Consolidation Cube Designer中的一个安全弱点（BOBJ_EADES在8.0、10.1版本中修复）可能允许攻击者发现管理员用户的密码哈希。
CVE-2018-2500|||在某些条件下，SAP移动安全Android客户端（6.60.19942.0 SP28 1711版本之前）允许攻击者访问原本受限制的信息。
CVE-2018-25001||||在Rust的libpulse-binding crate 2.5.0之前发现一个问题，proplist::Iterator可导致使用后释放。
CVE-2018-25002||Drupal的KCFinder集成项目中的uploader.php通过2018-06-01误处理验证，又名SA-CONTRIB-2018-024。注意：这个项目不在Drupal的安全咨询政策范围内。
CVE-2018-25004|||授权执行特定类型查询的用户可能会通过对查找查询发出通用解释命令来触发拒绝服务。这个问题会影响到。MongoDB Inc.4.0.6之前的MongoDB Server v4.0版本；3.6.11之前的MongoDB Server v3.6版本。
CVE-2018-25007||com.vaadin:flow-server 1.0.0至1.0.5版本（Vaadin 10.0.0至10.0.7，以及11.0.0至11.0.2）的UIDL请求处理程序中缺少检查，允许攻击者通过制作的同步消息更新元素属性值。
CVE-2018-25008||在1.29.0之前的Rust标准库中，Arc::get_mut方法存在弱同步性。这个同步问题可能会通过竞赛条件导致内存安全问题。
CVE-2018-25009|||在1.0.1之前版本的libwebp中，GetLE16()中发现基于堆的缓冲区溢出。
CVE-2018-25010||在libwebp 1.0.1之前的版本中，ApplyFilter()中发现基于堆的缓冲区溢出。
CVE-2018-25011||在libwebp 1.0.1之前的版本中，PutLE16()中发现基于堆的缓冲区溢出。
CVE-2018-25012||在libwebp 1.0.1之前的版本中，GetLE24()中发现基于堆的缓冲区溢出。
CVE-2018-25013||在libwebp 1.0.1之前的版本中，ShiftBytes()中发现基于堆的缓冲区溢出。
CVE-2018-25014||在libwebp 1.0.1之前的版本中，ReadSymbol()中发现使用未初始化的值。
CVE-2018-25015||在4.14.16之前的Linux内核中发现一个问题。net/sctp/socket.c中存在剥离后持有锁的用后自由，又称CID-a0ff660058b8。
CVE-2018-25016||7.0.3之前的Greenbone安全助手(GSA)和5.0.0之前的Greenbone操作系统(GOS)允许主机头注入。
CVE-2018-25017||RawSpeed (aka librawspeed) 3.1在TableLookUp::setTable有基于堆的缓冲区溢出。
CVE-2018-25018||UnRAR 5.6.1.7至5.7.4和6.0.3在QuickOpen::ReadRaw从QuickOpen::ReadNext调用时，在memcpy过程中存在越界写入。
CVE-2018-25019|||2.5.4之前的LearnDash LMS WordPress插件在learnndash_assignment_process_init()函数中没有对要上传的文件进行任何授权和验证，这可能允许未经认证的用户向网络服务器上传任意文件
CVE-2018-2502||TRACE方法在SAP Business One服务层中被启用。如果使用服务层的前端应用程序存在XSS漏洞，攻击者可以使用XST（跨网站追踪）攻击。这已在SAP Business One服务层（B1_ON_HANA，9.2、9.3版本）中得到修复。
CVE-2018-25020||4.17之前的Linux内核中的BPF子系统错误地处理了指令序列的长跳情况，其中内部指令需要大量扩展到多个BPF指令，导致溢出。这影响到kernel/bpf/core.c和net/core/filter.c。
CVE-2018-25021||0.2.8之前的toxcore中的TCP服务器模块在某些条件下没有释放TCP优先级队列，这使得远程攻击者能够耗尽系统的内存，导致拒绝服务（DoS）。
CVE-2018-25022|| toxcore中的Onion模块在0.2之前。2没有限制哪些数据包可以被洋葱路由，这使得远程攻击者可以发现目标用户的IP地址（当只知道他们的Tox Id时），方法是在DHT中接近目标的Tox Id，让目标与攻击者建立洋葱连接，猜测目标的DHT公钥并创建一个公钥接近的DHT节点，最后洋葱路由一个NAT Ping请求给目标，要求它ping刚创建的DHT节点。
CVE-2018-25023||Rust的smallvec crate在0.6.13之前发现一个问题。它可以创建任何类型的未初始化的值，包括引用类型。
CVE-2018-25024||在Rust的actix-web crate 0.7.15之前发现一个问题。它可以不健全地将不可变的引用胁迫为可变的引用，导致内存损坏。
CVE-2018-25025||在Rust的actix-web crate 0.7.15之前发现一个问题。它可以不健全地延长一个字符串的寿命，导致内存损坏。
CVE-2018-25026||在Rust的actix-web crate 0.7.15之前发现了一个问题。它可以将发送标记特质添加到无法在线程之间安全发送的对象，导致内存损坏。
CVE-2018-25027||在Rust的libpulse-binding crate 1.2.1之前发现一个问题，get_format_info可导致使用后释放。
CVE-2018-25028||在Rust的libpulse-binding crate 1.2.1之前发现一个问题，get_context可导致use-after-free。
CVE-2018-25029||Z-Wave规范要求S2的安全性可以降级到S0或其他不太安全的协议，允许配对期间无线电范围内的攻击者降级，然后利用不同的漏洞（CVE-2013-20003）来拦截和欺骗流量。
CVE-2018-2503|||默认情况下，SAP NetWeaver AS Java keystore服务没有充分限制对应受保护资源的访问。这已在SAP NetWeaver AS Java（ServerCore 7.11、7.20、7.30、7.31、7.40、7.50版本）中修复。
CVE-2018-25030||在Mirmay安全私人浏览器和文件管理器中发现了一个被列为问题的漏洞，直到2.5。受影响的是自动锁。一个竞赛条件导致了本地认证绕过。该漏洞已被披露给公众，并可能被使用。
CVE-2018-25031||Swagger UI在4.1.3之前可能允许远程攻击者进行欺骗攻击。通过说服受害者打开一个精心制作的URL，攻击者可以利用这个漏洞来显示远程OpenAPI定义。
CVE-2018-25032||zlib在1.2.12之前，如果输入有许多遥远的匹配，在放气（即压缩）时允许内存损坏。
CVE-2018-25033||ADMesh在0.98.4之前的libadmesh.a中connect.c的stl_update_connects_remove_1（从stl_remove_degenerate调用）存在基于堆的缓冲区过度读取。
CVE-2018-25034|||在Thomson TCW710 ST5D.10.05中发现一个漏洞，该漏洞被列为问题。该问题影响了对文件/goform/wlanPrimaryNetwork的一些未知处理。操纵参数ServiceSetIdentifier与输入><script>alert(1)</script>作为POST请求的一部分，导致基本的跨网站脚本（持久性）。该攻击可能是远程启动的。该漏洞已向公众披露，可被使用。该漏洞的相关标识符为VDB-126695。
CVE-2018-25035|||在Thomson TCW710 ST5D.10.05中发现一个漏洞，该漏洞被分类为问题。受影响的是文件/goform/RGFirewallEL的一个未知功能。操作参数EmailAddress/SmtpServerName与输入><script>alert(1)</script>作为POST请求的一部分，导致跨网站脚本（持久性）。有可能远程发起攻击。该漏洞已被披露给公众，并可能被使用。
CVE-2018-25036||在Thomson TCW710 ST5D.10.05中发现一个漏洞，并将其归类为有问题。受此漏洞影响的是文件/goform/RgTime的一个未知功能。操作参数TimeServer1/TimeServer2/TimeServer3与输入的><script>alert(1)</script>作为POST请求的一部分，导致跨网站脚本（持久性）。该攻击可以远程启动。该漏洞已被披露给公众，并可能被使用。
CVE-2018-25037||在Thomson TCW710 ST5D.10.05中发现一个漏洞，并被归类为有问题。受此问题影响的是文件/goform/RgDdns的一些未知功能。操作参数DdnsHostName与输入><script>alert(1)</script>作为POST请求的一部分，导致跨网站脚本（持久性）。该攻击可能是远程启动的。该漏洞已被披露给公众，并可能被使用。
CVE-2018-25038||在Thomson TCW710 ST5D.10.05中发现一个漏洞。它已被归类为有问题的。这影响到文件/goform/RgDhcp的一个未知部分。操作参数PppUserName与输入><script>alert(1)</script>作为POST请求的一部分，导致跨网站脚本（持久性）。有可能远程发起攻击。该漏洞已被披露给公众，并可能被使用。
CVE-2018-25039||在Thomson TCW710 ST5D.10.05中发现一个漏洞。它已被宣布为有问题。该漏洞影响到文件/goform/RgUrlBlock.asp的未知代码。对参数BasicParentalNewKeyword的操作与输入><script>alert(1)</script>作为POST请求的一部分，导致跨网站脚本（持久性）。该攻击可以远程启动。该漏洞已被披露给公众，并可能被使用。
CVE-2018-2504||SAP NetWeaver AS Java Web容器服务没有对HTTP主机头进行白名单验证，这可能导致HTTP主机头操纵或跨网站脚本（XSS）漏洞。这在7.10、7.11、7.20、7.30、7.31、7.40、7.50版本中得到修复。
CVE-2018-25040||在uTorrent Web中发现一个漏洞。它已被宣布为危急。受此漏洞影响的是组件HTTP RPC服务器的一个未知功能。该操作会导致权限升级。该攻击可以远程启动。该漏洞已向公众披露，可能被使用。建议升级受影响的组件。
CVE-2018-25041||在uTorrent中发现一个漏洞。它已被评级为关键。受此问题影响的是组件JSON RPC服务器的一些未知功能。该操作会导致权限升级。该攻击可能是远程启动的。该漏洞已被披露给公众，并可能被使用。建议升级受影响的组件。
CVE-2018-25042||在uTorrent中发现一个归类为关键的漏洞。这影响到一个未知的部分。该操作导致内存损坏。有可能远程启动攻击。建议升级受影响的组件。
CVE-2018-25043||在uTorrent中发现一个归类为关键的漏洞。该漏洞影响到组件PRNG的未知代码。篡改导致弱认证。攻击可以远程启动。该漏洞已向公众披露，并可能被使用。建议升级受影响的组件。
CVE-2018-25044||在uTorrent中发现了一个漏洞，该漏洞被归类为关键。该问题影响到组件 "访客账户 "的一些未知处理。该操作会导致特权升级。该攻击可能是远程启动的。该漏洞已被披露给公众，并可能被使用。建议升级受影响的组件。
CVE-2018-25045||3.9.1之前的Django REST框架（又名django-rest-framework）允许XSS，因为默认的DRF Browsable API视图模板禁用了自动escaping。
CVE-2018-25046||由于不当的路径净化，包含相对文件路径的档案可能导致文件被写入（或覆盖）目标目录之外。
CVE-2018-25047||在Smarty 3.1.47之前和4.x 4.2.1之前，libs/plugins/function.mailto.php允许XSS。使用smarty_function_mailto的网页，如果可以使用GET或POST输入参数，就可以允许用户注入JavaScript代码。
CVE-2018-25049||在email-existence中发现了一个漏洞。它已被评为有问题。受此问题影响的是文件index.js的一些未知功能。该操作导致了低效的正则表达式复杂性。该补丁的名称是0029ba71b6ad0d8ec0baa2ecc6256d038bdd9b56。建议应用一个补丁来修复这个问题。VDB-216854是分配给该漏洞的标识符。
CVE-2018-2505||SAP Commerce没有充分验证用户控制的输入，导致基于该产品的店面出现跨站脚本（XSS）漏洞。在版本（SAP Hybris Commerce，6.2、6.3、6.4、6.5、6.6、6.7版本）中修复。
CVE-2018-25050|||在Harvest Chosen截至1.8.6的版本中发现了一个漏洞，该漏洞被列为问题。受此问题影响的是文件coffee/lib/abstract-chosen.coffee中的函数AbstractChosen。对参数group_label的操作导致了跨网站脚本。该攻击可能是远程启动的。升级到1.8.7版本能够解决这个问题。该补丁的名称是77fd031d541e77510268d1041ed37798fdd1017e。建议升级受影响的组件。该漏洞的标识符为VDB-216956。
CVE-2018-25051|||在JmPotato Pomash中发现一个漏洞，该漏洞被归类为有问题。这影响到Pomash/theme/clean/templates/editor.html文件的一个未知部分。对参数article.title/content.title/article.tag的操作导致了跨网站脚本攻击。有可能从远程发起攻击。该补丁的名称是be1914ef0a6808e00f51618b2de92496a3604415。建议应用一个补丁来修复这个问题。识别码VDB-216957被分配给这个漏洞。
CVE-2018-25052||在Catalyst-Plugin-Session中发现了一个漏洞，直到0.40，并被归类为有问题。该漏洞影响了组件 Session ID Handler 的 lib/Catalyst/Plugin/Session.pm 文件中的函数 _load_sessionid。对参数sid的操作会导致跨网站脚本攻击。该攻击可在远程启动。升级到0.41版本能够解决这个问题。该补丁的名称是88d1b599e1163761c9bd53bec53ba078f13e09d4。建议升级受影响的组件。VDB-216958是分配给该漏洞的标识符。
CVE-2018-25053||在moappi Json2html截至1.1.x中发现了一个漏洞，并被归类为有问题。该问题影响到对文件json2html.js的一些未知处理。该操作会导致跨网站脚本。该攻击可能是远程启动的。升级到1.2.0版本能够解决这个问题。该补丁的名称是2d3d24d971b19a8ed1fb823596300b9835d55801。建议升级受影响的组件。该漏洞的相关标识符为VDB-216959。
CVE-2018-25054||在shred cilla中发现一个漏洞。它已被归类为有问题的。受影响的是组件Search Handler的文件cilla-xample/src/main/webapp/WEB-INF/jsp/view/search.jsp的一个未知功能。对参数细节的操作会导致跨网站脚本攻击。有可能远程发起攻击。该补丁的名称是d345e6bc7798bd717a583ec7f545ca387819d5c7。建议应用补丁来修复这个问题。该漏洞的标识符为VDB-216960。
CVE-2018-25055||在FarCry Solr Pro Plugin中发现了一个漏洞，直到1.5.x，它被宣布为有问题。受此漏洞影响的是组件 Search Handler 的 packages/forms/solrProSearch.cfc 文件的一个未知功能。对参数建议的操作导致了跨网站脚本。该攻击可以远程启动。升级到1.6.0版本能够解决这个问题。该补丁的名称是b8f3d61511c9b02b781ec442bfb803cbff8e08d5。建议升级受影响的组件。识别码VDB-216961被分配给这个漏洞。
CVE-2018-25056||在yolapi中发现一个漏洞，该漏洞被归类为问题。受影响的是yolapi/pypi/metadata.py文件中的render_description函数。对参数文本的操作导致了跨网站脚本攻击。有可能远程发起攻击。该补丁的名称是a0fe129055a99f429133a5c40cb13b44611ff796。建议应用一个补丁来修复这个问题。VDB-216966是分配给该漏洞的标识符。
CVE-2018-25057||在simple_php_link_shortener中发现一个漏洞。它已被归类为关键。受影响的是index.php文件的一个未知函数。对参数$link["id"]的操作导致了sql注入。该补丁的名称是b26ac6480761635ed94ccb0222ba6b732de6e53f。建议应用补丁来修复这个问题。该漏洞的标识符为VDB-216996。
CVE-2018-25058||在Twitter-Post-Fetcher截至17.x版本中发现一个被归类为问题的漏洞。这影响到组件Link Target Handler的js/twitterFetcher.js文件的未知部分。该操作导致使用网络链接到不受信任的目标，并有window.opener访问。有可能远程启动该攻击。升级到18.0.0版本能够解决这个问题。该补丁的名称是7d281c6fb5acbc29a2cad295262c1f0c19ca56f3。建议升级受影响的组件。识别码VDB-217017被分配给该漏洞。
CVE-2018-25059||在pastebinit截至0.2.2的版本中发现了一个漏洞，并被归类为有问题。受此问题影响的是文件server.go的函数pasteHandler。对参数r.URL.Path的操作导致了路径遍历。升级到0.2.3版本能够解决这个问题。该补丁的名称是1af2facb6d95976c532b7f8f82747d454a092272。建议升级受影响的组件。该漏洞的标识符为VDB-217040。
CVE-2018-25060||在Macaron csrf中发现一个漏洞，并被归类为有问题。受此问题影响的是文件csrf.go的一些未知功能。对参数Generate的操作导致敏感cookie没有安全属性。该攻击可能被远程启动。该补丁的名称是dadd1711a617000b70e5e408a76531b73187031c。建议应用补丁来修复这个问题。VDB-217058是分配给这个漏洞的标识符。
CVE-2018-25061||在rgb2hex至0.1.5中发现一个漏洞。它已被评为有问题。这个问题影响到一些未知的处理。该操作导致正则表达式的低效复杂性。该攻击可能是远程启动的。升级到0.1.6版本能够解决这个问题。该补丁的名称是9e0c38594432edfa64136fdf7bb651835e17c34f。建议升级受影响的组件。该漏洞的相关标识符为VDB-217151。
CVE-2018-25062||在flar2 ElementalX至6.x中发现一个被归类为问题的漏洞，受影响的是组件ipsec的net/xfrm/xfrm_user.c文件中的函数xfrm_dump_policy_done。该操作导致拒绝服务。升级到7.00版本能够解决这个问题。该补丁的名称是1df72c9f0f61304437f4f1037df03b5fb36d5a79。建议升级受影响的组件。该漏洞的标识符为VDB-217152。
CVE-2018-25063||在Zenoss Dashboard截至1.3.4版本中发现一个被归类为有问题的漏洞。受此漏洞影响的是ZenPacks/zenoss/Dashboard/browser/resources/js/defaultportlets.js文件的一个未知功能。对参数HTMLString的操作会导致跨网站脚本攻击。该攻击可以在远程启动。升级到1.3.5版本能够解决这个问题。该补丁的名称是f462285a0a2d7e1a9255b0820240b94a43b00a44。建议升级受影响的组件。识别码VDB-217153被分配给这个漏洞。
CVE-2018-25064||在OSM Lab show-me-the-way中发现一个漏洞。它已被评为有问题。该问题影响到对文件js/site.js的一些未知处理。该操作会导致跨网站脚本攻击。该攻击可能是远程启动的。该补丁的名称是4bed3b34dcc01fe6661f39c0e5d2285b340f7cac。建议应用补丁来修复这个问题。该漏洞的相关标识符为VDB-217439。
CVE-2018-25065|||在Wikimedia mediawiki-extensions-I18nTags中发现一个漏洞，并被归类为有问题。这个问题影响到组件Unlike Parser的I18nTags_body.php文件的一些未知处理。该操作会导致跨网站脚本攻击。该攻击可能是远程启动的。该补丁的名称是b4bc3cbbb099eab50cf2b544cf577116f1867b94。建议应用一个补丁来修复这个问题。识别码VDB-217445被分配给这个漏洞。
CVE-2018-25066||在PeterMu nodebatis至2.1.x中发现一个漏洞，该漏洞已被列为关键。受影响的是一个未知函数。该操作导致了sql注入。升级到2.2.0版本能够解决这个问题。该补丁的名称是6629ff5b7e3d62ad8319007a54589ec1f62c7c35。建议升级受影响的组件。VDB-217554是分配给该漏洞的标识符。
CVE-2018-25067|||在JoomGallery截至3.3.3的版本中发现了一个漏洞，该漏洞被归类为关键。这影响到组件 Image Sort Handler 的文件 administrator/components/com_joomgallery/views/config/tmpl/default.php 中的一个未知部分。该操作导致了sql注入。升级到3.3.4版本能够解决这个问题。该补丁的名称是dc414ee954e849082260f8613e15a1c1e1d354a1。建议升级受影响的组件。识别码VDB-217569被分配给这个漏洞。
CVE-2018-25068||devent globalpom-utils在4.5.0以下的版本中发现了一个漏洞，并被归类为危急。该漏洞影响了 globalpomutils-fileresources/src/main/java/com/anrisoftware/globalpom/fileresourcemanager/FileResourceManagerProvider.java 文件的函数 createTmpDir。该操作导致了不安全的临时文件。该攻击可以从远程发起。升级到4.5.1版本能够解决这个问题。该补丁的名称是77a820bac2f68e662ce261ecb050c643bd7ee560。建议升级受影响的组件。VDB-217570是分配给该漏洞的标识符。
CVE-2018-25069||在Netis Netcore Router中发现一个归类为关键的漏洞。这影响到一个未知的部分。操纵导致使用硬编码的密码。有可能远程启动攻击。识别码VDB-217593被分配给该漏洞。
CVE-2018-25070||在Polterguy Phosphorus Five至8.2版本中发现了一个漏洞，并将其归类为关键。该漏洞影响了CSV导入组件的plugins/extras/p5.mysql/NonQuery.cs文件中的csv.Read函数。该操作会导致sql注入。升级到8.3版本能够解决这个问题。该补丁的名称是c179a3d0703db55cfe0cb939b89593f2e7a87246。建议升级受影响的组件。VDB-217606是分配给该漏洞的标识符。
CVE-2018-25071||在roxlukas LMeve至0.1.58中发现一个漏洞。它已被评为关键。受此问题影响的是wwwroot/ccpwgl/proxy.php文件的insert_log函数。对参数fetch的操作导致了sql注入。升级到0.1.59-beta版本能够解决这个问题。该补丁的名称是c25ff7fe83a2cda1fcb365b182365adc3ffae332。建议升级受影响的组件。VDB-217610是分配给该漏洞的标识符。
CVE-2018-25072||在lojban jbovlaste中发现一个归类为关键的漏洞。这影响了文件dict/listing.html的一个未知部分。该操作会导致sql注入。有可能从远程发起攻击。该补丁的名称是6ff44c2e87b1113eb07d76ea62e1f64193b04d15。建议应用补丁来修复这个问题。该漏洞的相关标识符为VDB-217647。
CVE-2018-25073||在Newcomer1989 TSN-Ranksystem截至1.2.6的版本中发现一个漏洞，并将其列为问题。该漏洞影响了webinterface/bot.php文件的getlog功能。该操作会导致跨网站脚本。攻击可以从远程启动。升级到1.2.7版本能够解决这个问题。该补丁的名称是b3a3cd8efe2cd3bd3c5b3b7abf2fe80dbee51b77。建议升级受影响的组件。VDB-218002是分配给该漏洞的标识符。
CVE-2018-25074||在Prestaul skeemas中发现一个漏洞，并将其列为问题。该问题影响到文件validators/base.js的一些未知处理。对参数uri的操作导致了低效的正则表达式复杂性。该补丁的名称是65e94eda62dc8dc148ab3e59aa2ccc086ac448fd。建议应用补丁来修复这个问题。该漏洞的相关标识符为VDB-218003。
CVE-2018-25075|||在karsany OBridge截至1.3的版本中发现了一个被列为关键的漏洞。受影响的是obridge-main/src/main/java/org/obridge/dao/ProcedureDao.java文件中的函数getAllStandaloneProcedureAndFunction。该操作导致了sql注入。升级到1.4版本能够解决这个问题。该补丁的名称是52eca4ad05f3c292aed3178b2f58977686ffa376。建议升级受影响的组件。该漏洞的标识符为VDB-218376。
cve-2018-2515||***拒绝 **不要使用这个候选号码。咨询IDs。CVE-2018-2815。  原因是。该候选人是CVE-2018-2815的重复。  一个打字错误导致了错误的ID被使用。  注意。所有CVE用户应该参考CVE-2018-2815，而不是这个候选者。  为防止意外使用，该候选者中的所有参考和描述都已被删除。
CVE-2018-2560||Oracle Sun Systems Products Suite的Solaris组件（子组件：内核）中存在漏洞。受影响的支持版本为11.3。难以利用的漏洞允许具有登录到Solaris执行的基础设施的高权限攻击者损害Solaris。成功的攻击需要攻击者以外的人的互动，虽然该漏洞是在Solaris中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能会导致对关键数据的未授权访问或对所有Solaris可访问数据的完全访问。CVSS 3.0基础得分5.0（保密性影响）。CVSS Vector: (CVSS:3.0/AV:L/AC:H/PR:H/UI:R/S:C/C:H/I:N/A:N)。
CVE-2018-2561||Oracle Fusion Middleware的Oracle HTTP Server组件（子组件：Web Listener）中存在漏洞。受影响的支持版本为11.1.1.7.0、11.1.1.9.0、12.1.3.0.0、12.2.1.2.0和12.2.1.3.0。容易被利用的漏洞允许未认证的攻击者通过HTTP的网络访问来破坏Oracle HTTP服务器。对该漏洞的成功攻击可导致未经授权的能力，造成Oracle HTTP服务器的部分拒绝服务（部分DOS）。CVSS 3.0基础得分5.3（可用性影响）。CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L)。
CVE-2018-2562||Oracle MySQL的MySQL服务器组件中存在漏洞（子组件：服务器：分区）。受影响的支持版本为5.5.58及以前版本、5.6.38及以前版本和5.7.19及以前版本。容易被利用的漏洞允许具有网络访问权的低权限攻击者通过多种协议破坏MySQL服务器。对该漏洞的成功攻击可导致未经授权导致MySQL服务器挂起或经常重复崩溃（完全DOS），以及未经授权更新、插入或删除访问一些MySQL服务器的可访问数据。CVSS 3.0基础得分7.1（完整性和可用性影响）。CVSS矢量：（CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:H）。
CVE-2018-2563||Oracle Sun Systems Products Suite 的 Solaris 组件（子组件：LDAP Library）存在漏洞。受影响的支持版本为10和11.3。难以利用的漏洞允许具有网络访问权的低权限攻击者通过LDAP入侵Solaris。对该漏洞的成功攻击可导致对某些Solaris可访问数据的未授权更新、插入或删除访问，以及对Solaris可访问数据子集的未授权读取访问。CVSS 3.0基础得分4.2（保密性和完整性影响）。CVSS矢量：（CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N）。
CVE-2018-2564||Oracle Fusion Middleware的Oracle WebCenter Content组件（子组件：内容服务器）中存在漏洞。受影响的支持版本为11.1.1.9.0。容易被利用的漏洞允许未认证的攻击者通过HTTP的网络访问来破坏Oracle WebCenter Content。成功的攻击需要攻击者以外的人的互动，虽然该漏洞是在Oracle WebCenter Content中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可导致对关键数据或所有Oracle WebCenter Content可访问数据的未授权创建、删除或修改访问，以及对Oracle WebCenter Content可访问数据子集的未授权读取访问。CVSS 3.0基础得分8.2（保密性和完整性影响）。CVSS矢量：（CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:H/A:N）。
CVE-2018-2565||Oracle MySQL的MySQL Server组件（子组件：Server: InnoDB）中存在漏洞。受影响的支持版本为5.7.20及之前的版本。容易被利用的漏洞允许具有网络访问权的高权限攻击者通过多种协议破坏MySQL服务器。对该漏洞的成功攻击可导致未经授权的能力，导致MySQL服务器挂起或经常重复崩溃（完全DOS）。CVSS 3.0基础得分4.9（可用性影响）。CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).
CVE-2018-2566||Oracle Sun Systems Products Suite的Integrated Lights Out Manager (ILOM)组件（子组件：远程控制台应用程序）中存在漏洞。受影响的支持版本为3.x和4.x。难以利用的漏洞允许通过TLS进行网络访问的低权限攻击者破坏集成灯管管理器（ILOM）。成功的攻击需要攻击者以外的人的互动，虽然该漏洞是在集成灯管管理器（ILOM）中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击会导致对关键数据或所有集成式灯管（ILOM）可访问数据的未授权创建、删除或修改访问，以及对关键数据的未授权访问或对所有集成式灯管（ILOM）可访问数据的完全访问。CVSS 3.0基础得分7.7（保密性和完整性影响）。CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:N).
CVE-2018-2567||Oracle Communications Applications的Oracle Communications Order and Service Management组件（子组件：Portal）中存在漏洞。受影响的支持版本为7.2.4.1.x、7.2.4.2.x、7.3.0.x.x和7.3.0.1.x。容易被利用的漏洞允许未认证的攻击者通过HTTP的网络访问来破坏Oracle通信订单和服务管理。成功的攻击需要攻击者以外的人的互动，虽然该漏洞是在Oracle通信订单和服务管理中，但攻击可能会严重影响其他产品。对该漏洞的成功攻击可能导致对部分Oracle通信订单和服务管理可访问数据的未授权更新、插入或删除访问，以及对Oracle通信订单和服务管理可访问数据子集的未授权读取访问。CVSS 3.0基础得分6.1（保密性和完整性影响）。CVSS矢量：（CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N）。
